
Attaching file multidimfit.root as _file0...
(TFile *) 0x2286fe0

  RooFitResult: minimized FCN value: -6.28908, estimated distance to minimum: 3.02039e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  prop_binY16_bin31_fmn    4.0164e+00 +/-  1.42e+00
  prop_binY16_bin31_fpl    3.8828e+00 +/-  1.36e+00
  prop_binY16_bin31_gam    2.9830e+00 +/-  1.21e+00
     prop_binY16_bin32   -1.2743e-01 +/-  1.68e-01
     prop_binY16_bin33   -1.4253e-01 +/-  1.68e-01
     prop_binY16_bin34    1.8631e-02 +/-  1.68e-01
     prop_binY16_bin35   -6.9049e-03 +/-  1.68e-01
     prop_binY16_bin36    9.4889e-03 +/-  1.68e-01
     prop_binY16_bin37   -3.0406e-02 +/-  1.68e-01
     prop_binY16_bin38    1.1977e-01 +/-  1.68e-01
     prop_binY16_bin39    1.3480e-01 +/-  1.68e-01
      prop_binY16_bin4    8.3870e-03 +/-  1.68e-01
     prop_binY16_bin40    1.4570e-01 +/-  1.68e-01
     prop_binY16_bin41    3.4316e-02 +/-  1.68e-01
     prop_binY16_bin42   -2.8420e-02 +/-  1.68e-01
     prop_binY16_bin43   -1.2582e-03 +/-  1.68e-01
     prop_binY16_bin44    1.6963e-03 +/-  1.68e-01
     prop_binY16_bin45    1.2937e-02 +/-  1.68e-01
     prop_binY16_bin46   -1.1962e-02 +/-  1.68e-01
     prop_binY16_bin47   -6.8771e-02 +/-  1.68e-01
  prop_binY16_bin48_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin48_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin48_alpha   -2.4227e-04 +/-  1.68e-01
  prop_binY16_bin48_bk    5.8669e+00 +/-  1.70e+00
  prop_binY16_bin48_dy_gg    1.0989e+01 +/-  2.44e+00
  prop_binY16_bin48_fmn    1.2360e-02 +/-  1.68e-01
  prop_binY16_bin48_fpl   -2.0339e-02 +/-  1.68e-01
  prop_binY16_bin48_gam    6.9836e+00 +/-  1.91e+00
     prop_binY16_bin49    3.6848e-02 +/-  1.68e-01
      prop_binY16_bin5    1.2641e-02 +/-  1.68e-01
     prop_binY16_bin50   -2.2553e-02 +/-  1.68e-01
     prop_binY16_bin51   -2.1534e-02 +/-  1.68e-01
     prop_binY16_bin52    1.6298e-02 +/-  1.68e-01
     prop_binY16_bin53    4.0244e-04 +/-  1.68e-01
     prop_binY16_bin54   -8.1215e-03 +/-  1.68e-01
     prop_binY16_bin55    3.2605e-02 +/-  1.68e-01
  prop_binY16_bin56_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin56_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin56_alpha    2.9998e+00 +/-  1.21e+00
  prop_binY16_bin56_dy_gg   -6.3057e-03 +/-  1.68e-01
  prop_binY16_bin56_fmn    5.9389e-03 +/-  1.68e-01
  prop_binY16_bin56_fpl   -2.4947e-02 +/-  1.68e-01
     prop_binY16_bin57    1.5630e-02 +/-  1.68e-01
     prop_binY16_bin58   -7.4688e-03 +/-  1.68e-01
     prop_binY16_bin59   -2.0520e-03 +/-  1.68e-01
      prop_binY16_bin6   -5.3893e-02 +/-  1.68e-01
     prop_binY16_bin60   -5.7244e-03 +/-  1.68e-01
     prop_binY16_bin61   -1.3233e-03 +/-  1.68e-01
     prop_binY16_bin62   -2.0861e-03 +/-  1.68e-01
  prop_binY16_bin63_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin63_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin63_alpha    2.9995e+00 +/-  1.21e+00
  prop_binY16_bin63_dy_gg   -1.4899e-02 +/-  1.68e-01
  prop_binY16_bin63_fmn    1.6887e-02 +/-  1.68e-01
  prop_binY16_bin63_fpl   -4.8948e-02 +/-  1.68e-01
     prop_binY16_bin64    2.2347e-02 +/-  1.68e-01
     prop_binY16_bin65   -4.6235e-03 +/-  1.68e-01
     prop_binY16_bin66   -4.9459e-03 +/-  1.68e-01
     prop_binY16_bin67    1.0913e-02 +/-  1.68e-01
     prop_binY16_bin68   -9.8667e-03 +/-  1.68e-01
     prop_binY16_bin69   -2.3274e-03 +/-  1.68e-01
      prop_binY16_bin7    3.0420e-01 +/-  1.68e-01
     prop_binY16_bin70    8.5453e-03 +/-  1.68e-01
     prop_binY16_bin71   -2.4833e-03 +/-  1.68e-01
  prop_binY16_bin72_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin72_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin72_alpha   -2.2556e-04 +/-  1.68e-01
  prop_binY16_bin72_bk    2.8411e+00 +/-  1.15e+00
  prop_binY16_bin72_dy_gg    9.9920e-01 +/-  6.79e-01
  prop_binY16_bin72_fmn    1.2681e-02 +/-  1.68e-01
  prop_binY16_bin72_fpl   -2.2662e-02 +/-  1.68e-01
  prop_binY16_bin72_gam    2.3894e+01 +/-  3.66e+00
     prop_binY16_bin73    3.4559e-03 +/-  1.68e-01
     prop_binY16_bin74    7.6895e-03 +/-  1.68e-01
     prop_binY16_bin75   -2.6559e-03 +/-  1.68e-01
     prop_binY16_bin76    4.9532e-04 +/-  1.68e-01
     prop_binY16_bin77   -6.0174e-03 +/-  1.68e-01
     prop_binY16_bin78    4.4840e-03 +/-  1.68e-01
     prop_binY16_bin79    5.4055e-02 +/-  1.68e-01
      prop_binY16_bin8    7.2627e-03 +/-  1.68e-01
  prop_binY16_bin80_LQint    3.8000e+01 +/-  4.66e+00
  prop_binY16_bin80_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin80_alpha    9.0772e-05 +/-  1.68e-01
  prop_binY16_bin80_dy_gg    2.0014e+00 +/-  9.77e-01
  prop_binY16_bin80_fmn   -4.8287e-03 +/-  1.68e-01
  prop_binY16_bin80_fpl    6.8194e-03 +/-  1.68e-01
  prop_binY16_bin80_gam    3.0031e+00 +/-  1.21e+00
     prop_binY16_bin81    4.6479e-03 +/-  1.68e-01
     prop_binY16_bin82    2.1163e-02 +/-  1.68e-01
     prop_binY16_bin83    5.0217e-04 +/-  1.68e-01
     prop_binY16_bin84   -7.7679e-05 +/-  1.68e-01
     prop_binY16_bin85   -1.4007e-02 +/-  1.68e-01
     prop_binY16_bin86    2.4771e-03 +/-  1.68e-01
     prop_binY16_bin87   -2.5843e-03 +/-  1.68e-01
  prop_binY16_bin88_LQint    4.0000e+00 +/-  1.41e+00
  prop_binY16_bin88_LQpure    4.0000e+00 +/-  1.41e+00
  prop_binY16_bin88_alpha    3.9999e+00 +/-  1.41e+00
  prop_binY16_bin88_dy_gg   -1.3153e-03 +/-  1.68e-01
  prop_binY16_bin88_fmn    3.0050e+00 +/-  1.21e+00
  prop_binY16_bin88_fpl    2.9940e+00 +/-  1.21e+00
  prop_binY16_bin89_LQint    3.9000e+01 +/-  4.72e+00
  prop_binY16_bin89_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin89_alpha    2.6444e-04 +/-  1.68e-01
  prop_binY16_bin89_dy_gg    2.0002e+00 +/-  9.76e-01
  prop_binY16_bin89_fmn   -6.2261e-03 +/-  1.68e-01
  prop_binY16_bin89_fpl    9.2111e-03 +/-  1.68e-01
      prop_binY16_bin9    2.5682e-01 +/-  1.68e-01
  prop_binY16_bin90_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin90_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin90_alpha    3.4932e-05 +/-  1.68e-01
  prop_binY16_bin90_dy_gg    3.0001e+00 +/-  1.21e+00
  prop_binY16_bin90_fmn   -4.8992e-04 +/-  1.68e-01
  prop_binY16_bin90_fpl    8.8495e-04 +/-  1.68e-01
  prop_binY16_bin90_gam    2.0004e+00 +/-  9.76e-01
  prop_binY16_bin91_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin91_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin91_alpha   -1.8540e-04 +/-  1.68e-01
  prop_binY16_bin91_dy_gg   -6.1044e-05 +/-  1.68e-01
  prop_binY16_bin91_fmn    1.7664e-03 +/-  1.68e-01
  prop_binY16_bin91_fpl   -4.7577e-03 +/-  1.68e-01
