
Attaching file multidimfit.root as _file0...
(TFile *) 0x2d39f60

  RooFitResult: minimized FCN value: -6.2893, estimated distance to minimum: 2.96002e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
                  pdf8    1.3051e-03 +/-  1.69e-01
                  pdf9    2.7476e-03 +/-  1.69e-01
             prefire16    1.7143e-02 +/-  1.68e-01
             prefire17   -3.2618e-02 +/-  1.66e-01
      prop_binY16_bin0   -4.1166e-01 +/-  1.69e-01
      prop_binY16_bin1    7.5087e-02 +/-  1.69e-01
     prop_binY16_bin10    2.7306e-02 +/-  1.69e-01
     prop_binY16_bin11   -1.1716e-01 +/-  1.69e-01
     prop_binY16_bin12    1.0728e-01 +/-  1.69e-01
     prop_binY16_bin13   -3.9621e-02 +/-  1.69e-01
     prop_binY16_bin14   -1.5052e-01 +/-  1.69e-01
     prop_binY16_bin15   -2.1793e-02 +/-  1.69e-01
     prop_binY16_bin16    6.8849e-02 +/-  1.69e-01
     prop_binY16_bin17    1.1370e-01 +/-  1.69e-01
     prop_binY16_bin18   -1.4081e-01 +/-  1.69e-01
     prop_binY16_bin19   -1.5665e-01 +/-  1.69e-01
      prop_binY16_bin2   -2.8842e-02 +/-  1.69e-01
     prop_binY16_bin20    1.8367e-01 +/-  1.69e-01
     prop_binY16_bin21    5.9012e-02 +/-  1.69e-01
     prop_binY16_bin22   -4.1418e-02 +/-  1.69e-01
     prop_binY16_bin23   -4.4028e-02 +/-  1.69e-01
  prop_binY16_bin24_LQint    3.0000e+00 +/-  1.21e+00
  prop_binY16_bin24_LQpure    2.0000e+00 +/-  9.78e-01
  prop_binY16_bin24_alpha    3.0012e+00 +/-  1.21e+00
  prop_binY16_bin24_bk    2.0733e+00 +/-  9.91e-01
  prop_binY16_bin24_dy_gg    5.9653e-03 +/-  1.69e-01
  prop_binY16_bin24_fmn    3.9394e+00 +/-  1.39e+00
  prop_binY16_bin24_fpl    4.1045e+00 +/-  1.42e+00
  prop_binY16_bin24_gam    3.0308e+00 +/-  1.22e+00
  prop_binY16_bin25_LQint    0.0000e+00 +/-  1.69e-01
  prop_binY16_bin25_LQpure    0.0000e+00 +/-  1.69e-01
  prop_binY16_bin25_alpha    1.1480e-03 +/-  1.69e-01
  prop_binY16_bin25_bk    4.1103e+00 +/-  1.41e+00
  prop_binY16_bin25_dy_gg    7.3193e-03 +/-  1.69e-01
  prop_binY16_bin25_fmn   -2.5861e-02 +/-  1.69e-01
  prop_binY16_bin25_fpl    4.2336e-02 +/-  1.69e-01
  prop_binY16_bin25_gam    2.1028e+01 +/-  3.44e+00
     prop_binY16_bin26   -5.7121e-03 +/-  1.69e-01
     prop_binY16_bin27    2.1798e-03 +/-  1.69e-01
     prop_binY16_bin28    2.0074e-03 +/-  1.69e-01
     prop_binY16_bin29   -3.4285e-03 +/-  1.69e-01
      prop_binY16_bin3    6.4080e-03 +/-  1.69e-01
     prop_binY16_bin30   -5.2844e-02 +/-  1.69e-01
  prop_binY16_bin31_LQint    3.0000e+00 +/-  1.21e+00
  prop_binY16_bin31_LQpure    2.0000e+00 +/-  9.78e-01
  prop_binY16_bin31_alpha    2.9993e+00 +/-  1.21e+00
  prop_binY16_bin31_bk    1.9611e+00 +/-  9.61e-01
  prop_binY16_bin31_dy_gg   -3.3507e-03 +/-  1.69e-01
  prop_binY16_bin31_fmn    4.0164e+00 +/-  1.42e+00
  prop_binY16_bin31_fpl    3.8828e+00 +/-  1.36e+00
  prop_binY16_bin31_gam    2.9830e+00 +/-  1.21e+00
     prop_binY16_bin32   -1.2747e-01 +/-  1.69e-01
     prop_binY16_bin33   -1.4259e-01 +/-  1.69e-01
     prop_binY16_bin34    1.8595e-02 +/-  1.69e-01
     prop_binY16_bin35   -6.9350e-03 +/-  1.69e-01
     prop_binY16_bin36    9.4598e-03 +/-  1.69e-01
     prop_binY16_bin37   -3.0436e-02 +/-  1.69e-01
     prop_binY16_bin38    1.1970e-01 +/-  1.69e-01
     prop_binY16_bin39    1.3474e-01 +/-  1.69e-01
      prop_binY16_bin4    8.2678e-03 +/-  1.69e-01
     prop_binY16_bin40    1.4561e-01 +/-  1.69e-01
     prop_binY16_bin41    3.4243e-02 +/-  1.69e-01
     prop_binY16_bin42   -2.8453e-02 +/-  1.69e-01
     prop_binY16_bin43   -1.2807e-03 +/-  1.69e-01
     prop_binY16_bin44    1.6911e-03 +/-  1.69e-01
     prop_binY16_bin45    1.2934e-02 +/-  1.69e-01
     prop_binY16_bin46   -1.1977e-02 +/-  1.69e-01
     prop_binY16_bin47   -6.8783e-02 +/-  1.69e-01
  prop_binY16_bin48_LQint    0.0000e+00 +/-  1.69e-01
  prop_binY16_bin48_LQpure    0.0000e+00 +/-  1.69e-01
  prop_binY16_bin48_alpha   -2.4246e-04 +/-  1.69e-01
  prop_binY16_bin48_bk    5.8668e+00 +/-  1.71e+00
  prop_binY16_bin48_dy_gg    1.0989e+01 +/-  2.44e+00
  prop_binY16_bin48_fmn    1.2370e-02 +/-  1.69e-01
  prop_binY16_bin48_fpl   -2.0357e-02 +/-  1.69e-01
  prop_binY16_bin48_gam    6.9836e+00 +/-  1.91e+00
     prop_binY16_bin49    3.6791e-02 +/-  1.69e-01
      prop_binY16_bin5    1.2588e-02 +/-  1.69e-01
     prop_binY16_bin50   -2.2581e-02 +/-  1.69e-01
     prop_binY16_bin51   -2.1540e-02 +/-  1.69e-01
     prop_binY16_bin52    1.6310e-02 +/-  1.69e-01
     prop_binY16_bin53    4.1686e-04 +/-  1.69e-01
     prop_binY16_bin54   -8.0972e-03 +/-  1.69e-01
     prop_binY16_bin55    3.2607e-02 +/-  1.69e-01
  prop_binY16_bin56_LQint    0.0000e+00 +/-  1.69e-01
  prop_binY16_bin56_LQpure    0.0000e+00 +/-  1.69e-01
  prop_binY16_bin56_alpha    2.9998e+00 +/-  1.21e+00
  prop_binY16_bin56_dy_gg   -6.3133e-03 +/-  1.69e-01
  prop_binY16_bin56_fmn    5.9353e-03 +/-  1.69e-01
  prop_binY16_bin56_fpl   -2.4929e-02 +/-  1.69e-01
     prop_binY16_bin57    1.5621e-02 +/-  1.69e-01
     prop_binY16_bin58   -7.4783e-03 +/-  1.69e-01
