
Attaching file multidimfit.root as _file0...
(TFile *) 0x36905a0

  RooFitResult: minimized FCN value: -2.96616, estimated distance to minimum: 1.34706e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
                  pdf7    3.1546e-03 +/-  1.51e-01
                  pdf8    2.3144e-03 +/-  1.51e-01
                  pdf9    2.8983e-03 +/-  1.51e-01
             prefire16    2.5225e-02 +/-  1.50e-01
             prefire17   -1.7504e-02 +/-  1.48e-01
              ptrw1b16    0.0000e+00 +/-  1.51e-01
              ptrw1b17    0.0000e+00 +/-  1.51e-01
              ptrw1b18    0.0000e+00 +/-  1.51e-01
              ptrw2b16    0.0000e+00 +/-  1.51e-01
              ptrw2b17    0.0000e+00 +/-  1.51e-01
              ptrw2b18    0.0000e+00 +/-  1.51e-01
              ptrw3b16    0.0000e+00 +/-  1.51e-01
              ptrw3b17    0.0000e+00 +/-  1.51e-01
              ptrw3b18    0.0000e+00 +/-  1.51e-01
              ptrw4b16    0.0000e+00 +/-  1.51e-01
              ptrw4b17    0.0000e+00 +/-  1.51e-01
              ptrw4b18    0.0000e+00 +/-  1.51e-01
              ptrw5b16    0.0000e+00 +/-  1.51e-01
              ptrw5b17    0.0000e+00 +/-  1.51e-01
              ptrw5b18    0.0000e+00 +/-  1.51e-01
              ptrw6b16    0.0000e+00 +/-  1.51e-01
              ptrw6b17    0.0000e+00 +/-  1.51e-01
              ptrw6b18    0.0000e+00 +/-  1.51e-01
              ptrw7b16    0.0000e+00 +/-  1.51e-01
              ptrw7b17    0.0000e+00 +/-  1.51e-01
              ptrw7b18    0.0000e+00 +/-  1.51e-01
                   yLQ    0.0000e+00 +/-  7.47e+00

