
Attaching file multidimfit.root as _file0...
(TFile *) 0x268f8b0

  RooFitResult: minimized FCN value: -6.28886, estimated distance to minimum: 2.7522e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
                  pdf8    1.3756e-03 +/-  1.61e-01
                  pdf9    2.7498e-03 +/-  1.61e-01
             prefire16    1.6113e-02 +/-  1.60e-01
             prefire17   -3.2972e-02 +/-  1.58e-01
      prop_binY16_bin0   -4.1112e-01 +/-  1.60e-01
      prop_binY16_bin1    7.5303e-02 +/-  1.61e-01
     prop_binY16_bin10    2.7278e-02 +/-  1.61e-01
     prop_binY16_bin11   -1.1744e-01 +/-  1.61e-01
     prop_binY16_bin12    1.0685e-01 +/-  1.61e-01
     prop_binY16_bin13   -3.9864e-02 +/-  1.61e-01
     prop_binY16_bin14   -1.5036e-01 +/-  1.60e-01
     prop_binY16_bin15   -2.1271e-02 +/-  1.61e-01
     prop_binY16_bin16    6.9123e-02 +/-  1.60e-01
     prop_binY16_bin17    1.1401e-01 +/-  1.61e-01
     prop_binY16_bin18   -1.4070e-01 +/-  1.61e-01
     prop_binY16_bin19   -1.5684e-01 +/-  1.61e-01
      prop_binY16_bin2   -2.8974e-02 +/-  1.61e-01
     prop_binY16_bin20    1.8333e-01 +/-  1.61e-01
     prop_binY16_bin21    5.8786e-02 +/-  1.61e-01
     prop_binY16_bin22   -4.1255e-02 +/-  1.61e-01
     prop_binY16_bin23   -4.3654e-02 +/-  1.61e-01
  prop_binY16_bin24_LQint    3.0000e+00 +/-  1.18e+00
  prop_binY16_bin24_LQpure    2.0000e+00 +/-  9.52e-01
  prop_binY16_bin24_alpha    3.0012e+00 +/-  1.18e+00
  prop_binY16_bin24_bk    2.0733e+00 +/-  9.65e-01
  prop_binY16_bin24_dy_gg    5.9678e-03 +/-  1.61e-01
  prop_binY16_bin24_fmn    3.9394e+00 +/-  1.36e+00
  prop_binY16_bin24_fpl    4.1045e+00 +/-  1.39e+00
  prop_binY16_bin24_gam    3.0308e+00 +/-  1.19e+00
  prop_binY16_bin25_LQint    0.0000e+00 +/-  1.61e-01
  prop_binY16_bin25_LQpure    0.0000e+00 +/-  1.61e-01
  prop_binY16_bin25_alpha    1.1406e-03 +/-  1.61e-01
  prop_binY16_bin25_bk    4.1106e+00 +/-  1.37e+00
  prop_binY16_bin25_dy_gg    7.3490e-03 +/-  1.61e-01
  prop_binY16_bin25_fmn   -2.5959e-02 +/-  1.61e-01
  prop_binY16_bin25_fpl    4.2501e-02 +/-  1.61e-01
  prop_binY16_bin25_gam    2.1028e+01 +/-  3.36e+00
     prop_binY16_bin26   -5.5550e-03 +/-  1.61e-01
     prop_binY16_bin27    2.1585e-03 +/-  1.61e-01
     prop_binY16_bin28    1.7914e-03 +/-  1.61e-01
     prop_binY16_bin29   -3.6074e-03 +/-  1.61e-01
      prop_binY16_bin3    6.0607e-03 +/-  1.61e-01
     prop_binY16_bin30   -5.2811e-02 +/-  1.61e-01
  prop_binY16_bin31_LQint    3.0000e+00 +/-  1.18e+00
  prop_binY16_bin31_LQpure    2.0000e+00 +/-  9.52e-01
  prop_binY16_bin31_alpha    2.9993e+00 +/-  1.18e+00
  prop_binY16_bin31_bk    1.9611e+00 +/-  9.36e-01
  prop_binY16_bin31_dy_gg   -3.3476e-03 +/-  1.61e-01
  prop_binY16_bin31_fmn    4.0164e+00 +/-  1.38e+00
  prop_binY16_bin31_fpl    3.8829e+00 +/-  1.33e+00
  prop_binY16_bin31_gam    2.9830e+00 +/-  1.18e+00
     prop_binY16_bin32   -1.2730e-01 +/-  1.61e-01
     prop_binY16_bin33   -1.4254e-01 +/-  1.61e-01
     prop_binY16_bin34    1.8602e-02 +/-  1.61e-01
     prop_binY16_bin35   -6.9746e-03 +/-  1.61e-01
     prop_binY16_bin36    9.4022e-03 +/-  1.61e-01
     prop_binY16_bin37   -3.0482e-02 +/-  1.61e-01
     prop_binY16_bin38    1.1973e-01 +/-  1.61e-01
     prop_binY16_bin39    1.3498e-01 +/-  1.61e-01
      prop_binY16_bin4    7.8706e-03 +/-  1.61e-01
     prop_binY16_bin40    1.4575e-01 +/-  1.60e-01
     prop_binY16_bin41    3.4302e-02 +/-  1.61e-01
     prop_binY16_bin42   -2.8436e-02 +/-  1.61e-01
     prop_binY16_bin43   -1.2931e-03 +/-  1.61e-01
     prop_binY16_bin44    1.6304e-03 +/-  1.61e-01
     prop_binY16_bin45    1.2883e-02 +/-  1.61e-01
     prop_binY16_bin46   -1.1959e-02 +/-  1.61e-01
     prop_binY16_bin47   -6.8594e-02 +/-  1.61e-01
  prop_binY16_bin48_LQint    0.0000e+00 +/-  1.61e-01
  prop_binY16_bin48_LQpure    0.0000e+00 +/-  1.61e-01
  prop_binY16_bin48_alpha   -2.3950e-04 +/-  1.61e-01
  prop_binY16_bin48_bk    5.8669e+00 +/-  1.67e+00
  prop_binY16_bin48_dy_gg    1.0989e+01 +/-  2.39e+00
  prop_binY16_bin48_fmn    1.2357e-02 +/-  1.61e-01
  prop_binY16_bin48_fpl   -2.0341e-02 +/-  1.61e-01
  prop_binY16_bin48_gam    6.9836e+00 +/-  1.87e+00
     prop_binY16_bin49    3.6872e-02 +/-  1.61e-01
