
Attaching file multidimfit.root as _file0...
(TFile *) 0x4032720

  RooFitResult: minimized FCN value: -6.28527, estimated distance to minimum: 2.55402e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
     prop_binY16_bin12    1.0510e-01 +/-  1.58e-01
     prop_binY16_bin13   -4.1132e-02 +/-  1.58e-01
     prop_binY16_bin14   -1.4902e-01 +/-  1.58e-01
     prop_binY16_bin15   -2.1201e-02 +/-  1.58e-01
     prop_binY16_bin16    6.8824e-02 +/-  1.58e-01
     prop_binY16_bin17    1.1695e-01 +/-  1.58e-01
     prop_binY16_bin18   -1.3807e-01 +/-  1.58e-01
     prop_binY16_bin19   -1.5706e-01 +/-  1.58e-01
      prop_binY16_bin2   -2.9841e-02 +/-  1.58e-01
     prop_binY16_bin20    1.8327e-01 +/-  1.58e-01
     prop_binY16_bin21    6.3313e-02 +/-  1.58e-01
     prop_binY16_bin22   -3.6742e-02 +/-  1.58e-01
     prop_binY16_bin23   -4.3690e-02 +/-  1.58e-01
  prop_binY16_bin24_LQint    3.0000e+00 +/-  1.17e+00
  prop_binY16_bin24_LQpure    2.0000e+00 +/-  9.43e-01
  prop_binY16_bin24_alpha    3.0012e+00 +/-  1.17e+00
  prop_binY16_bin24_bk    2.0735e+00 +/-  9.56e-01
  prop_binY16_bin24_dy_gg    6.0045e-03 +/-  1.58e-01
  prop_binY16_bin24_fmn    3.9391e+00 +/-  1.35e+00
  prop_binY16_bin24_fpl    4.1050e+00 +/-  1.38e+00
  prop_binY16_bin24_gam    3.0309e+00 +/-  1.18e+00
  prop_binY16_bin25_LQint    0.0000e+00 +/-  1.58e-01
  prop_binY16_bin25_LQpure    0.0000e+00 +/-  1.58e-01
  prop_binY16_bin25_alpha    1.1672e-03 +/-  1.58e-01
  prop_binY16_bin25_bk    4.1118e+00 +/-  1.36e+00
  prop_binY16_bin25_dy_gg    7.4471e-03 +/-  1.58e-01
  prop_binY16_bin25_fmn   -2.6255e-02 +/-  1.58e-01
  prop_binY16_bin25_fpl    4.2985e-02 +/-  1.58e-01
  prop_binY16_bin25_gam    2.1029e+01 +/-  3.34e+00
     prop_binY16_bin26   -4.2614e-03 +/-  1.58e-01
     prop_binY16_bin27    6.4817e-03 +/-  1.58e-01
     prop_binY16_bin28    7.0899e-03 +/-  1.58e-01
     prop_binY16_bin29   -9.2947e-04 +/-  1.58e-01
      prop_binY16_bin3    5.0872e-03 +/-  1.58e-01
     prop_binY16_bin30   -5.2021e-02 +/-  1.58e-01
  prop_binY16_bin31_LQint    3.0000e+00 +/-  1.17e+00
  prop_binY16_bin31_LQpure    2.0000e+00 +/-  9.43e-01
  prop_binY16_bin31_alpha    2.9993e+00 +/-  1.17e+00
  prop_binY16_bin31_bk    1.9613e+00 +/-  9.27e-01
  prop_binY16_bin31_dy_gg   -3.3489e-03 +/-  1.58e-01
  prop_binY16_bin31_fmn    4.0164e+00 +/-  1.37e+00
  prop_binY16_bin31_fpl    3.8831e+00 +/-  1.32e+00
  prop_binY16_bin31_gam    2.9831e+00 +/-  1.17e+00
     prop_binY16_bin32   -1.2721e-01 +/-  1.58e-01
     prop_binY16_bin33   -1.4354e-01 +/-  1.58e-01
     prop_binY16_bin34    1.7862e-02 +/-  1.58e-01
     prop_binY16_bin35   -7.5534e-03 +/-  1.58e-01
     prop_binY16_bin36    8.8196e-03 +/-  1.58e-01
     prop_binY16_bin37   -3.1287e-02 +/-  1.58e-01
     prop_binY16_bin38    1.1861e-01 +/-  1.58e-01
     prop_binY16_bin39    1.3512e-01 +/-  1.58e-01
      prop_binY16_bin4    7.1952e-03 +/-  1.58e-01
     prop_binY16_bin40    1.4751e-01 +/-  1.58e-01
     prop_binY16_bin41    3.4721e-02 +/-  1.58e-01
     prop_binY16_bin42   -2.8788e-02 +/-  1.58e-01
     prop_binY16_bin43   -1.7906e-03 +/-  1.58e-01
     prop_binY16_bin44    1.1486e-03 +/-  1.58e-01
     prop_binY16_bin45    1.2481e-02 +/-  1.58e-01
     prop_binY16_bin46   -1.1421e-02 +/-  1.58e-01
     prop_binY16_bin47   -6.6911e-02 +/-  1.58e-01
  prop_binY16_bin48_LQint    0.0000e+00 +/-  1.58e-01
  prop_binY16_bin48_LQpure    0.0000e+00 +/-  1.58e-01
  prop_binY16_bin48_alpha   -2.3982e-04 +/-  1.58e-01
  prop_binY16_bin48_bk    5.8687e+00 +/-  1.65e+00
  prop_binY16_bin48_dy_gg    1.0989e+01 +/-  2.37e+00
  prop_binY16_bin48_fmn    1.2226e-02 +/-  1.58e-01
  prop_binY16_bin48_fpl   -2.0114e-02 +/-  1.58e-01
  prop_binY16_bin48_gam    6.9838e+00 +/-  1.85e+00
     prop_binY16_bin49    3.7469e-02 +/-  1.58e-01
      prop_binY16_bin5    1.0836e-02 +/-  1.58e-01
     prop_binY16_bin50   -2.1747e-02 +/-  1.58e-01
     prop_binY16_bin51   -2.1698e-02 +/-  1.58e-01
     prop_binY16_bin52    1.6096e-02 +/-  1.58e-01
     prop_binY16_bin53    1.5900e-03 +/-  1.58e-01
     prop_binY16_bin54   -7.2282e-03 +/-  1.58e-01
     prop_binY16_bin55    3.3324e-02 +/-  1.58e-01
  prop_binY16_bin56_LQint    0.0000e+00 +/-  1.58e-01
  prop_binY16_bin56_LQpure    0.0000e+00 +/-  1.58e-01
  prop_binY16_bin56_alpha    2.9998e+00 +/-  1.17e+00
  prop_binY16_bin56_dy_gg   -6.3012e-03 +/-  1.58e-01
  prop_binY16_bin56_fmn    5.9129e-03 +/-  1.58e-01
  prop_binY16_bin56_fpl   -2.4835e-02 +/-  1.58e-01
     prop_binY16_bin57    1.5764e-02 +/-  1.58e-01
     prop_binY16_bin58   -7.0836e-03 +/-  1.58e-01
     prop_binY16_bin59   -9.1120e-04 +/-  1.58e-01
      prop_binY16_bin6   -5.5694e-02 +/-  1.58e-01
     prop_binY16_bin60   -4.4256e-03 +/-  1.58e-01
     prop_binY16_bin61   -7.8726e-04 +/-  1.58e-01
     prop_binY16_bin62   -2.0846e-03 +/-  1.58e-01
  prop_binY16_bin63_LQint    0.0000e+00 +/-  1.58e-01
  prop_binY16_bin63_LQpure    0.0000e+00 +/-  1.58e-01
  prop_binY16_bin63_alpha    2.9995e+00 +/-  1.17e+00
  prop_binY16_bin63_dy_gg   -1.4954e-02 +/-  1.58e-01
  prop_binY16_bin63_fmn    1.6886e-02 +/-  1.58e-01
  prop_binY16_bin63_fpl   -4.8940e-02 +/-  1.58e-01
     prop_binY16_bin64    2.2766e-02 +/-  1.58e-01
     prop_binY16_bin65   -4.8349e-03 +/-  1.58e-01
     prop_binY16_bin66   -5.1640e-03 +/-  1.58e-01
     prop_binY16_bin67    1.0628e-02 +/-  1.58e-01
     prop_binY16_bin68   -1.0143e-02 +/-  1.58e-01
     prop_binY16_bin69   -2.5777e-03 +/-  1.58e-01
      prop_binY16_bin7    3.0314e-01 +/-  1.58e-01
     prop_binY16_bin70    8.3538e-03 +/-  1.58e-01
     prop_binY16_bin71   -2.0572e-03 +/-  1.58e-01
  prop_binY16_bin72_LQint    0.0000e+00 +/-  1.58e-01
  prop_binY16_bin72_LQpure    0.0000e+00 +/-  1.58e-01
  prop_binY16_bin72_alpha   -2.2428e-04 +/-  1.58e-01
  prop_binY16_bin72_bk    2.8424e+00 +/-  1.11e+00
  prop_binY16_bin72_dy_gg    9.9925e-01 +/-  6.55e-01
  prop_binY16_bin72_fmn    1.2597e-02 +/-  1.58e-01
  prop_binY16_bin72_fpl   -2.2509e-02 +/-  1.58e-01
  prop_binY16_bin72_gam    2.3895e+01 +/-  3.56e+00
     prop_binY16_bin73    3.6373e-03 +/-  1.58e-01
     prop_binY16_bin74    7.4248e-03 +/-  1.58e-01
     prop_binY16_bin75   -2.7833e-03 +/-  1.58e-01
     prop_binY16_bin76    3.5579e-04 +/-  1.58e-01
     prop_binY16_bin77   -6.2579e-03 +/-  1.58e-01
     prop_binY16_bin78    4.8135e-03 +/-  1.58e-01
     prop_binY16_bin79    5.4835e-02 +/-  1.58e-01
      prop_binY16_bin8    7.0729e-03 +/-  1.58e-01
  prop_binY16_bin80_LQint    3.8000e+01 +/-  4.53e+00
  prop_binY16_bin80_LQpure    0.0000e+00 +/-  1.58e-01
  prop_binY16_bin80_alpha    9.1927e-05 +/-  1.58e-01
  prop_binY16_bin80_dy_gg    2.0014e+00 +/-  9.44e-01
  prop_binY16_bin80_fmn   -4.8820e-03 +/-  1.58e-01
  prop_binY16_bin80_fpl    6.8950e-03 +/-  1.58e-01
  prop_binY16_bin80_gam    3.0031e+00 +/-  1.17e+00
     prop_binY16_bin81    5.0006e-03 +/-  1.58e-01
     prop_binY16_bin82    2.1384e-02 +/-  1.58e-01
     prop_binY16_bin83    4.5677e-04 +/-  1.58e-01
     prop_binY16_bin84   -1.3264e-04 +/-  1.58e-01
     prop_binY16_bin85   -1.3607e-02 +/-  1.58e-01
     prop_binY16_bin86    3.0063e-03 +/-  1.58e-01
     prop_binY16_bin87   -2.4952e-03 +/-  1.58e-01
  prop_binY16_bin88_LQint    4.0000e+00 +/-  1.37e+00
  prop_binY16_bin88_LQpure    4.0000e+00 +/-  1.37e+00
  prop_binY16_bin88_alpha    3.9999e+00 +/-  1.37e+00
  prop_binY16_bin88_dy_gg   -1.3201e-03 +/-  1.58e-01
  prop_binY16_bin88_fmn    3.0050e+00 +/-  1.17e+00
  prop_binY16_bin88_fpl    2.9940e+00 +/-  1.17e+00
  prop_binY16_bin89_LQint    3.9000e+01 +/-  4.59e+00
  prop_binY16_bin89_LQpure    0.0000e+00 +/-  1.58e-01
  prop_binY16_bin89_alpha    2.6778e-04 +/-  1.58e-01
  prop_binY16_bin89_dy_gg    2.0002e+00 +/-  9.43e-01
  prop_binY16_bin89_fmn   -6.2967e-03 +/-  1.58e-01
  prop_binY16_bin89_fpl    9.3153e-03 +/-  1.58e-01
      prop_binY16_bin9    2.5784e-01 +/-  1.57e-01
  prop_binY16_bin90_LQint    0.0000e+00 +/-  1.58e-01
  prop_binY16_bin90_LQpure    0.0000e+00 +/-  1.58e-01
  prop_binY16_bin90_alpha    4.4060e-05 +/-  1.58e-01
  prop_binY16_bin90_dy_gg    3.0002e+00 +/-  1.17e+00
  prop_binY16_bin90_fmn   -6.1762e-04 +/-  1.58e-01
  prop_binY16_bin90_fpl    1.1156e-03 +/-  1.58e-01
  prop_binY16_bin90_gam    2.0005e+00 +/-  9.43e-01
  prop_binY16_bin91_LQint    0.0000e+00 +/-  1.58e-01
  prop_binY16_bin91_LQpure    0.0000e+00 +/-  1.58e-01
  prop_binY16_bin91_alpha   -1.7133e-04 +/-  1.58e-01
  prop_binY16_bin91_dy_gg   -5.6573e-05 +/-  1.58e-01
  prop_binY16_bin91_fmn    1.6312e-03 +/-  1.58e-01
  prop_binY16_bin91_fpl   -4.3927e-03 +/-  1.58e-01
  prop_binY16_bin91_gam    1.9984e+00 +/-  9.43e-01
     prop_binY16_bin92    4.6210e-03 +/-  1.58e-01
     prop_binY16_bin93   -1.4321e-03 +/-  1.58e-01
     prop_binY16_bin94   -7.4810e-04 +/-  1.58e-01
  prop_binY16_bin95_LQint    4.0000e+00 +/-  1.37e+00
  prop_binY16_bin95_LQpure    4.0000e+00 +/-  1.37e+00
  prop_binY16_bin95_alpha    4.0000e+00 +/-  1.37e+00
  prop_binY16_bin95_dy_gg   -1.5908e-04 +/-  1.58e-01
  prop_binY16_bin95_fmn    3.0002e+00 +/-  1.17e+00
  prop_binY16_bin95_fpl    2.9979e+00 +/-  1.17e+00
      prop_binY17_bin0    2.9913e-01 +/-  1.57e-01
      prop_binY17_bin1   -2.0826e-01 +/-  1.58e-01
     prop_binY17_bin10    1.0908e-01 +/-  1.58e-01
     prop_binY17_bin11   -7.1161e-02 +/-  1.58e-01
     prop_binY17_bin12    8.2655e-02 +/-  1.58e-01
     prop_binY17_bin13   -9.9812e-02 +/-  1.58e-01
     prop_binY17_bin14   -1.4569e-02 +/-  1.58e-01
     prop_binY17_bin15    2.2436e-01 +/-  1.57e-01
  prop_binY17_bin16_LQint    0.0000e+00 +/-  1.58e-01
  prop_binY17_bin16_LQpure    0.0000e+00 +/-  1.58e-01
  prop_binY17_bin16_alpha   -5.4244e-04 +/-  1.58e-01
  prop_binY17_bin16_bk    3.6782e+00 +/-  1.22e+00
