
Attaching file multidimfit.root as _file0...
(TFile *) 0x34d3490

  RooFitResult: minimized FCN value: -6.27474, estimated distance to minimum: 0.000519742
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
      prop_binY16_bin0   -4.1349e-01 +/-  6.20e-01
      prop_binY16_bin1    7.4718e-02 +/-  6.23e-01
     prop_binY16_bin10    2.6780e-02 +/-  6.31e-01
     prop_binY16_bin11   -1.1759e-01 +/-  6.29e-01
     prop_binY16_bin12    1.0614e-01 +/-  6.28e-01
     prop_binY16_bin13   -3.9645e-02 +/-  6.32e-01
     prop_binY16_bin14   -1.5053e-01 +/-  6.21e-01
     prop_binY16_bin15   -2.1961e-02 +/-  6.22e-01
     prop_binY16_bin16    6.5747e-02 +/-  6.18e-01
     prop_binY16_bin17    1.1558e-01 +/-  6.25e-01
     prop_binY16_bin18   -1.3488e-01 +/-  6.31e-01
     prop_binY16_bin19   -1.5678e-01 +/-  6.31e-01
      prop_binY16_bin2   -2.4905e-02 +/-  6.30e-01
     prop_binY16_bin20    1.8475e-01 +/-  6.29e-01
     prop_binY16_bin21    6.5172e-02 +/-  6.31e-01
     prop_binY16_bin22   -3.4950e-02 +/-  6.31e-01
     prop_binY16_bin23   -4.3068e-02 +/-  6.28e-01
  prop_binY16_bin24_LQint    3.0000e+00 +/-  1.68e+00
  prop_binY16_bin24_LQpure    2.0000e+00 +/-  1.37e+00
  prop_binY16_bin24_alpha    3.0011e+00 +/-  1.68e+00
  prop_binY16_bin24_bk    2.0729e+00 +/-  1.38e+00
  prop_binY16_bin24_dy_gg    6.0025e-03 +/-  6.47e-01
  prop_binY16_bin24_fmn    3.9391e+00 +/-  1.90e+00
  prop_binY16_bin24_fpl    4.1051e+00 +/-  1.94e+00
  prop_binY16_bin24_gam    3.0304e+00 +/-  1.69e+00
  prop_binY16_bin25_LQint    0.0000e+00 +/-  6.47e-01
  prop_binY16_bin25_LQpure    0.0000e+00 +/-  6.47e-01
  prop_binY16_bin25_alpha    1.1312e-03 +/-  6.47e-01
  prop_binY16_bin25_bk    4.1122e+00 +/-  1.91e+00
  prop_binY16_bin25_dy_gg    7.5335e-03 +/-  6.47e-01
  prop_binY16_bin25_fmn   -2.6312e-02 +/-  6.44e-01
  prop_binY16_bin25_fpl    4.3169e-02 +/-  6.40e-01
  prop_binY16_bin25_gam    2.1028e+01 +/-  4.48e+00
     prop_binY16_bin26   -8.6074e-03 +/-  6.33e-01
     prop_binY16_bin27    8.0049e-04 +/-  6.36e-01
     prop_binY16_bin28    6.0067e-04 +/-  6.36e-01
     prop_binY16_bin29   -5.3731e-03 +/-  6.34e-01
      prop_binY16_bin3    8.6025e-03 +/-  6.33e-01
     prop_binY16_bin30   -5.2703e-02 +/-  6.33e-01
  prop_binY16_bin31_LQint    3.0000e+00 +/-  1.68e+00
  prop_binY16_bin31_LQpure    2.0000e+00 +/-  1.37e+00
  prop_binY16_bin31_alpha    2.9993e+00 +/-  1.68e+00
  prop_binY16_bin31_bk    1.9607e+00 +/-  1.34e+00
  prop_binY16_bin31_dy_gg   -3.4289e-03 +/-  6.47e-01
  prop_binY16_bin31_fmn    4.0168e+00 +/-  1.95e+00
  prop_binY16_bin31_fpl    3.8802e+00 +/-  1.83e+00
  prop_binY16_bin31_gam    2.9829e+00 +/-  1.67e+00
     prop_binY16_bin32   -1.3007e-01 +/-  6.26e-01
     prop_binY16_bin33   -1.4465e-01 +/-  6.35e-01
     prop_binY16_bin34    1.7497e-02 +/-  6.44e-01
     prop_binY16_bin35   -7.6262e-03 +/-  6.44e-01
     prop_binY16_bin36    8.8901e-03 +/-  6.44e-01
     prop_binY16_bin37   -3.2119e-02 +/-  6.44e-01
     prop_binY16_bin38    1.1837e-01 +/-  6.35e-01
     prop_binY16_bin39    1.3411e-01 +/-  6.28e-01
      prop_binY16_bin4    1.1600e-02 +/-  6.33e-01
     prop_binY16_bin40    1.4498e-01 +/-  6.19e-01
     prop_binY16_bin41    3.4707e-02 +/-  6.43e-01
     prop_binY16_bin42   -2.8871e-02 +/-  6.44e-01
     prop_binY16_bin43   -1.8078e-03 +/-  6.44e-01
     prop_binY16_bin44    1.0962e-03 +/-  6.44e-01
     prop_binY16_bin45    1.2196e-02 +/-  6.44e-01
     prop_binY16_bin46   -1.2161e-02 +/-  6.44e-01
     prop_binY16_bin47   -6.9563e-02 +/-  6.31e-01
  prop_binY16_bin48_LQint    0.0000e+00 +/-  6.47e-01
  prop_binY16_bin48_LQpure    0.0000e+00 +/-  6.47e-01
  prop_binY16_bin48_alpha   -2.3796e-04 +/-  6.47e-01
  prop_binY16_bin48_bk    5.8649e+00 +/-  2.26e+00
  prop_binY16_bin48_dy_gg    1.0989e+01 +/-  3.23e+00
  prop_binY16_bin48_fmn    1.2555e-02 +/-  6.47e-01
  prop_binY16_bin48_fpl   -2.0692e-02 +/-  6.46e-01
  prop_binY16_bin48_gam    6.9835e+00 +/-  2.57e+00
     prop_binY16_bin49    3.6253e-02 +/-  6.43e-01
      prop_binY16_bin5    1.4320e-02 +/-  6.30e-01
     prop_binY16_bin50   -2.2147e-02 +/-  6.42e-01
     prop_binY16_bin51   -2.1616e-02 +/-  6.44e-01
     prop_binY16_bin52    1.5857e-02 +/-  6.44e-01
     prop_binY16_bin53    1.1442e-03 +/-  6.43e-01
     prop_binY16_bin54   -9.3910e-03 +/-  6.44e-01
