
Attaching file multidimfit.root as _file0...
(TFile *) 0x31703b0

  RooFitResult: minimized FCN value: -6.23044, estimated distance to minimum: 0.000243716
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  prop_binY16_bin56_dy_gg   -6.2689e-03 +/-  9.92e-01
  prop_binY16_bin56_fmn    5.8020e-03 +/-  9.93e-01
  prop_binY16_bin56_fpl   -2.4545e-02 +/-  9.62e-01
     prop_binY16_bin57    1.5421e-02 +/-  9.82e-01
     prop_binY16_bin58   -7.1236e-03 +/-  9.82e-01
     prop_binY16_bin59   -7.8682e-04 +/-  9.84e-01
      prop_binY16_bin6   -5.4383e-02 +/-  9.19e-01
     prop_binY16_bin60   -4.5970e-03 +/-  9.84e-01
     prop_binY16_bin61   -1.8371e-03 +/-  9.83e-01
     prop_binY16_bin62   -3.4378e-03 +/-  9.87e-01
  prop_binY16_bin63_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin63_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin63_alpha    2.9995e+00 +/-  1.71e+00
  prop_binY16_bin63_dy_gg   -1.5093e-02 +/-  9.94e-01
  prop_binY16_bin63_fmn    1.6810e-02 +/-  9.94e-01
  prop_binY16_bin63_fpl   -4.9044e-02 +/-  9.94e-01
     prop_binY16_bin64    2.1707e-02 +/-  9.66e-01
     prop_binY16_bin65   -5.0118e-03 +/-  9.88e-01
     prop_binY16_bin66   -5.0334e-03 +/-  9.88e-01
     prop_binY16_bin67    1.0749e-02 +/-  9.87e-01
     prop_binY16_bin68   -1.0182e-02 +/-  9.88e-01
     prop_binY16_bin69   -2.7156e-03 +/-  9.89e-01
      prop_binY16_bin7    3.0497e-01 +/-  8.99e-01
     prop_binY16_bin70    8.2751e-03 +/-  9.89e-01
     prop_binY16_bin71   -3.4550e-03 +/-  9.75e-01
  prop_binY16_bin72_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin72_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin72_alpha   -1.9241e-04 +/-  9.94e-01
  prop_binY16_bin72_bk    2.8420e+00 +/-  1.58e+00
  prop_binY16_bin72_dy_gg    9.9943e-01 +/-  9.88e-01
  prop_binY16_bin72_fmn    1.2555e-02 +/-  9.94e-01
  prop_binY16_bin72_fpl   -2.2584e-02 +/-  9.93e-01
  prop_binY16_bin72_gam    2.3897e+01 +/-  4.83e+00
     prop_binY16_bin73    3.2226e-03 +/-  9.84e-01
     prop_binY16_bin74    6.8071e-03 +/-  9.89e-01
     prop_binY16_bin75   -2.4212e-03 +/-  9.90e-01
     prop_binY16_bin76    6.5330e-04 +/-  9.90e-01
     prop_binY16_bin77   -6.8404e-03 +/-  9.90e-01
     prop_binY16_bin78    4.3278e-03 +/-  9.88e-01
     prop_binY16_bin79    5.3965e-02 +/-  9.72e-01
      prop_binY16_bin8    1.4402e-03 +/-  8.94e-01
  prop_binY16_bin80_LQint    3.8000e+01 +/-  6.11e+00
  prop_binY16_bin80_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin80_alpha    7.3765e-05 +/-  9.94e-01
  prop_binY16_bin80_dy_gg    2.0013e+00 +/-  1.40e+00
  prop_binY16_bin80_fmn   -4.5381e-03 +/-  9.92e-01
  prop_binY16_bin80_fpl    6.4531e-03 +/-  9.90e-01
  prop_binY16_bin80_gam    3.0028e+00 +/-  1.72e+00
     prop_binY16_bin81    4.7295e-03 +/-  9.87e-01
     prop_binY16_bin82    2.1194e-02 +/-  9.87e-01
     prop_binY16_bin83    5.5474e-04 +/-  9.90e-01
     prop_binY16_bin84   -2.1541e-04 +/-  9.90e-01
     prop_binY16_bin85   -1.4034e-02 +/-  9.89e-01
     prop_binY16_bin86    2.4693e-03 +/-  9.89e-01
     prop_binY16_bin87   -2.9170e-03 +/-  9.90e-01
  prop_binY16_bin88_LQint    4.0000e+00 +/-  1.98e+00
  prop_binY16_bin88_LQpure    4.0000e+00 +/-  1.98e+00
  prop_binY16_bin88_alpha    3.9999e+00 +/-  1.98e+00
  prop_binY16_bin88_dy_gg   -1.3324e-03 +/-  9.94e-01
  prop_binY16_bin88_fmn    3.0050e+00 +/-  1.72e+00
  prop_binY16_bin88_fpl    2.9939e+00 +/-  1.71e+00
  prop_binY16_bin89_LQint    3.9000e+01 +/-  6.19e+00
  prop_binY16_bin89_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin89_alpha    2.3193e-04 +/-  9.94e-01
  prop_binY16_bin89_dy_gg    2.0002e+00 +/-  1.40e+00
  prop_binY16_bin89_fmn   -6.3261e-03 +/-  9.92e-01
  prop_binY16_bin89_fpl    9.4222e-03 +/-  9.88e-01
      prop_binY16_bin9    2.5874e-01 +/-  8.68e-01
  prop_binY16_bin90_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin90_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin90_alpha    5.3017e-05 +/-  9.94e-01
  prop_binY16_bin90_dy_gg    3.0002e+00 +/-  1.71e+00
  prop_binY16_bin90_fmn   -8.6039e-04 +/-  9.93e-01
  prop_binY16_bin90_fpl    1.5640e-03 +/-  9.90e-01
  prop_binY16_bin90_gam    2.0007e+00 +/-  1.40e+00
  prop_binY16_bin91_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin91_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin91_alpha   -1.4114e-04 +/-  9.94e-01
  prop_binY16_bin91_dy_gg   -5.4917e-05 +/-  9.94e-01
  prop_binY16_bin91_fmn    1.5618e-03 +/-  9.94e-01
  prop_binY16_bin91_fpl   -4.2340e-03 +/-  9.90e-01
  prop_binY16_bin91_gam    1.9985e+00 +/-  1.40e+00
     prop_binY16_bin92    4.4863e-03 +/-  9.89e-01
     prop_binY16_bin93   -7.7156e-04 +/-  9.89e-01
     prop_binY16_bin94   -6.3333e-04 +/-  9.90e-01
  prop_binY16_bin95_LQint    4.0000e+00 +/-  1.98e+00
  prop_binY16_bin95_LQpure    4.0000e+00 +/-  1.98e+00
  prop_binY16_bin95_alpha    4.0000e+00 +/-  1.98e+00
  prop_binY16_bin95_dy_gg   -1.7562e-04 +/-  9.94e-01
  prop_binY16_bin95_fmn    3.0002e+00 +/-  1.71e+00
  prop_binY16_bin95_fpl    2.9977e+00 +/-  1.71e+00
      prop_binY17_bin0    3.0238e-01 +/-  7.77e-01
      prop_binY17_bin1   -2.0887e-01 +/-  8.91e-01
     prop_binY17_bin10    1.0999e-01 +/-  9.23e-01
     prop_binY17_bin11   -7.0768e-02 +/-  9.44e-01
     prop_binY17_bin12    8.2899e-02 +/-  9.46e-01
     prop_binY17_bin13   -9.8107e-02 +/-  9.42e-01
     prop_binY17_bin14   -1.7643e-02 +/-  9.62e-01
     prop_binY17_bin15    2.2366e-01 +/-  8.56e-01
  prop_binY17_bin16_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin16_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin16_alpha   -4.6110e-04 +/-  9.94e-01
  prop_binY17_bin16_bk    3.6815e+00 +/-  1.65e+00
  prop_binY17_bin16_dy_gg    7.9751e+00 +/-  2.79e+00
  prop_binY17_bin16_fmn    2.7137e-02 +/-  9.92e-01
  prop_binY17_bin16_fpl   -5.0355e-02 +/-  9.85e-01
  prop_binY17_bin16_gam    4.9896e+01 +/-  6.99e+00
     prop_binY17_bin17    4.4380e-03 +/-  9.12e-01
     prop_binY17_bin18    3.2819e-01 +/-  9.01e-01
     prop_binY17_bin19   -9.6373e-02 +/-  9.61e-01
      prop_binY17_bin2    5.7141e-02 +/-  9.39e-01
     prop_binY17_bin20   -3.6850e-03 +/-  9.62e-01
     prop_binY17_bin21   -1.9836e-01 +/-  9.43e-01
     prop_binY17_bin22   -1.8356e-03 +/-  9.49e-01
     prop_binY17_bin23    1.0580e-01 +/-  9.25e-01
  prop_binY17_bin24_LQint    3.0000e+00 +/-  1.71e+00
  prop_binY17_bin24_LQpure    4.0000e+00 +/-  1.98e+00
  prop_binY17_bin24_alpha    1.0998e+01 +/-  3.28e+00
  prop_binY17_bin24_bk    1.9373e+00 +/-  1.35e+00
  prop_binY17_bin24_dy_gg    9.8726e-01 +/-  9.76e-01
  prop_binY17_bin24_fmn    1.3126e+01 +/-  3.60e+00
  prop_binY17_bin24_fpl    1.2796e+01 +/-  3.51e+00
  prop_binY17_bin24_gam    4.9225e+00 +/-  2.18e+00
     prop_binY17_bin25   -3.6428e-02 +/-  9.72e-01
     prop_binY17_bin26    9.0539e-02 +/-  9.52e-01
     prop_binY17_bin27   -6.0095e-03 +/-  9.70e-01
     prop_binY17_bin28    2.1803e-02 +/-  9.71e-01
     prop_binY17_bin29   -4.9493e-02 +/-  9.68e-01
      prop_binY17_bin3    3.7145e-02 +/-  9.49e-01
     prop_binY17_bin30    6.5904e-03 +/-  9.76e-01
  prop_binY17_bin31_LQint    3.0000e+00 +/-  1.71e+00
  prop_binY17_bin31_LQpure    4.0000e+00 +/-  1.98e+00
  prop_binY17_bin31_alpha    1.1001e+01 +/-  3.29e+00
  prop_binY17_bin31_bk    2.0230e+00 +/-  1.41e+00
  prop_binY17_bin31_dy_gg    1.0045e+00 +/-  9.93e-01
  prop_binY17_bin31_fmn    1.2979e+01 +/-  3.56e+00
  prop_binY17_bin31_fpl    1.3156e+01 +/-  3.53e+00
  prop_binY17_bin31_gam    5.0278e+00 +/-  2.22e+00
  prop_binY17_bin32_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin32_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin32_alpha   -6.2679e-05 +/-  9.94e-01
  prop_binY17_bin32_bk    6.6152e+00 +/-  1.99e+00
  prop_binY17_bin32_dy_gg    1.5993e+01 +/-  3.96e+00
  prop_binY17_bin32_fmn    4.0300e-03 +/-  9.94e-01
  prop_binY17_bin32_fpl   -1.1397e-02 +/-  9.93e-01
  prop_binY17_bin32_gam   -1.0063e-02 +/-  9.94e-01
     prop_binY17_bin33    1.8652e-02 +/-  9.86e-01
     prop_binY17_bin34    2.2886e-02 +/-  9.44e-01
     prop_binY17_bin35   -1.1208e-01 +/-  9.69e-01
     prop_binY17_bin36    8.7782e-02 +/-  9.67e-01
     prop_binY17_bin37   -2.0175e-02 +/-  9.54e-01
     prop_binY17_bin38   -2.0960e-02 +/-  9.87e-01
     prop_binY17_bin39    1.6347e-01 +/-  8.00e-01
      prop_binY17_bin4    7.0366e-03 +/-  9.51e-01
  prop_binY17_bin40_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin40_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin40_alpha   -3.3168e-04 +/-  9.94e-01
  prop_binY17_bin40_bk    3.3229e+00 +/-  1.49e+00
  prop_binY17_bin40_dy_gg    3.3970e+01 +/-  5.77e+00
  prop_binY17_bin40_fmn    2.1833e-02 +/-  9.94e-01
  prop_binY17_bin40_fpl   -4.2800e-02 +/-  9.93e-01
  prop_binY17_bin40_gam    3.8791e+01 +/-  6.15e+00
     prop_binY17_bin41    4.9098e-02 +/-  9.39e-01
     prop_binY17_bin42    1.8077e-02 +/-  9.89e-01
     prop_binY17_bin43   -4.3202e-03 +/-  9.90e-01
     prop_binY17_bin44    4.5897e-03 +/-  9.90e-01
     prop_binY17_bin45   -1.1077e-02 +/-  9.90e-01
     prop_binY17_bin46   -2.0045e-02 +/-  9.67e-01
     prop_binY17_bin47    2.2166e-01 +/-  9.15e-01
  prop_binY17_bin48_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin48_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin48_alpha    2.7369e-05 +/-  9.94e-01
  prop_binY17_bin48_bk    5.0703e+00 +/-  1.96e+00
  prop_binY17_bin48_dy_gg    1.9002e+01 +/-  4.32e+00
  prop_binY17_bin48_fmn   -1.6540e-03 +/-  9.94e-01
  prop_binY17_bin48_fpl    2.7212e-03 +/-  9.94e-01
  prop_binY17_bin48_gam    2.6016e+01 +/-  5.05e+00
     prop_binY17_bin49    1.9132e-02 +/-  9.85e-01
      prop_binY17_bin5   -5.6288e-02 +/-  9.46e-01
     prop_binY17_bin50    2.2977e-03 +/-  9.89e-01
     prop_binY17_bin51    1.6812e-03 +/-  9.90e-01
     prop_binY17_bin52   -7.4094e-04 +/-  9.90e-01
     prop_binY17_bin53   -5.4747e-04 +/-  9.90e-01
     prop_binY17_bin54   -4.2184e-03 +/-  9.89e-01
     prop_binY17_bin55   -5.6498e-03 +/-  9.26e-01
  prop_binY17_bin56_LQint    2.0000e+00 +/-  1.40e+00
