
Attaching file multidimfit.root as _file0...
(TFile *) 0x22a1d20

  RooFitResult: minimized FCN value: -3.52726, estimated distance to minimum: 1.363e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
                  pdf7    9.1343e-03 +/-  9.93e-01
                  pdf8    8.6213e-03 +/-  9.93e-01
                  pdf9   -1.8391e-03 +/-  9.93e-01
             prefire16    2.6045e-03 +/-  8.84e-01
             prefire17   -1.0815e-02 +/-  7.13e-01
              ptrw1b16   -1.1420e-02 +/-  9.89e-01
              ptrw1b17    1.3949e-02 +/-  9.91e-01
              ptrw1b18   -2.8757e-04 +/-  9.86e-01
              ptrw2b16   -3.0558e-02 +/-  9.90e-01
              ptrw2b17   -2.9670e-03 +/-  9.94e-01
              ptrw2b18    1.0641e-02 +/-  9.87e-01
              ptrw3b16   -3.9447e-03 +/-  9.92e-01
              ptrw3b17   -3.6830e-03 +/-  9.94e-01
              ptrw3b18   -3.0542e-02 +/-  9.92e-01
              ptrw4b16    1.8730e-03 +/-  9.89e-01
              ptrw4b17   -1.7208e-02 +/-  9.94e-01
              ptrw4b18    1.2700e-02 +/-  9.88e-01
              ptrw5b16    7.8716e-04 +/-  9.89e-01
              ptrw5b17    2.5555e-02 +/-  9.93e-01
              ptrw5b18    2.9449e-02 +/-  9.89e-01
              ptrw6b16   -7.9260e-03 +/-  9.84e-01
              ptrw6b17    1.0877e-02 +/-  9.93e-01
              ptrw6b18    3.0961e-03 +/-  9.87e-01
              ptrw7b16    7.3543e-02 +/-  9.72e-01
              ptrw7b17    2.6253e-03 +/-  9.85e-01
              ptrw7b18   -8.4501e-02 +/-  9.69e-01
                   yLQ    2.7409e-02 +/-  2.34e-01

