
Attaching file multidimfit.root as _file0...
(TFile *) 0x32a3ce0

  RooFitResult: minimized FCN value: -6.27272, estimated distance to minimum: 0.00143585
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
      prop_binY16_bin0   -4.1488e-01 +/-  9.06e-01
      prop_binY16_bin1    7.3686e-02 +/-  9.15e-01
     prop_binY16_bin10    2.6134e-02 +/-  9.40e-01
     prop_binY16_bin11   -1.1908e-01 +/-  9.32e-01
     prop_binY16_bin12    1.0419e-01 +/-  9.30e-01
     prop_binY16_bin13   -4.1082e-02 +/-  9.43e-01
     prop_binY16_bin14   -1.5174e-01 +/-  9.07e-01
     prop_binY16_bin15   -2.2226e-02 +/-  9.13e-01
     prop_binY16_bin16    6.4656e-02 +/-  8.98e-01
     prop_binY16_bin17    1.1702e-01 +/-  9.20e-01
     prop_binY16_bin18   -1.3418e-01 +/-  9.40e-01
     prop_binY16_bin19   -1.5736e-01 +/-  9.38e-01
      prop_binY16_bin2   -2.4883e-02 +/-  9.36e-01
     prop_binY16_bin20    1.8414e-01 +/-  9.32e-01
     prop_binY16_bin21    6.6208e-02 +/-  9.39e-01
     prop_binY16_bin22   -3.4548e-02 +/-  9.38e-01
     prop_binY16_bin23   -4.4042e-02 +/-  9.30e-01
  prop_binY16_bin24_LQint    3.0000e+00 +/-  1.71e+00
  prop_binY16_bin24_LQpure    2.0000e+00 +/-  1.40e+00
  prop_binY16_bin24_alpha    3.0011e+00 +/-  1.71e+00
  prop_binY16_bin24_bk    2.0733e+00 +/-  1.41e+00
  prop_binY16_bin24_dy_gg    6.0531e-03 +/-  9.94e-01
  prop_binY16_bin24_fmn    3.9389e+00 +/-  1.93e+00
  prop_binY16_bin24_fpl    4.1056e+00 +/-  1.98e+00
  prop_binY16_bin24_gam    3.0305e+00 +/-  1.73e+00
  prop_binY16_bin25_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin25_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin25_alpha    1.1250e-03 +/-  9.94e-01
  prop_binY16_bin25_bk    4.1136e+00 +/-  1.95e+00
  prop_binY16_bin25_dy_gg    7.6922e-03 +/-  9.94e-01
  prop_binY16_bin25_fmn   -2.6786e-02 +/-  9.85e-01
  prop_binY16_bin25_fpl    4.3909e-02 +/-  9.68e-01
  prop_binY16_bin25_gam    2.1029e+01 +/-  4.54e+00
     prop_binY16_bin26   -8.5252e-03 +/-  9.46e-01
     prop_binY16_bin27    3.5943e-04 +/-  9.56e-01
     prop_binY16_bin28   -2.6598e-04 +/-  9.57e-01
     prop_binY16_bin29   -5.7095e-03 +/-  9.50e-01
      prop_binY16_bin3    8.5375e-03 +/-  9.45e-01
     prop_binY16_bin30   -5.3068e-02 +/-  9.48e-01
  prop_binY16_bin31_LQint    3.0000e+00 +/-  1.71e+00
  prop_binY16_bin31_LQpure    2.0000e+00 +/-  1.40e+00
  prop_binY16_bin31_alpha    2.9994e+00 +/-  1.71e+00
  prop_binY16_bin31_bk    1.9609e+00 +/-  1.36e+00
  prop_binY16_bin31_dy_gg   -3.4220e-03 +/-  9.94e-01
  prop_binY16_bin31_fmn    4.0167e+00 +/-  1.99e+00
  prop_binY16_bin31_fpl    3.8809e+00 +/-  1.86e+00
  prop_binY16_bin31_gam    2.9830e+00 +/-  1.70e+00
     prop_binY16_bin32   -1.3040e-01 +/-  9.24e-01
     prop_binY16_bin33   -1.4518e-01 +/-  9.52e-01
     prop_binY16_bin34    1.7154e-02 +/-  9.82e-01
     prop_binY16_bin35   -7.8961e-03 +/-  9.84e-01
     prop_binY16_bin36    8.5518e-03 +/-  9.84e-01
     prop_binY16_bin37   -3.2786e-02 +/-  9.83e-01
     prop_binY16_bin38    1.1822e-01 +/-  9.53e-01
     prop_binY16_bin39    1.3378e-01 +/-  9.31e-01
      prop_binY16_bin4    1.1994e-02 +/-  9.45e-01
     prop_binY16_bin40    1.4571e-01 +/-  9.00e-01
     prop_binY16_bin41    3.4927e-02 +/-  9.81e-01
     prop_binY16_bin42   -2.8920e-02 +/-  9.85e-01
