
Attaching file multidimfit.root as _file0...
(TFile *) 0x38e3280

  RooFitResult: minimized FCN value: -6.28218, estimated distance to minimum: 5.82502e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
                  pdf8    1.4899e-03 +/-  2.32e-01
                  pdf9    2.9864e-03 +/-  2.32e-01
             prefire16    2.2668e-02 +/-  2.29e-01
             prefire17   -2.9949e-02 +/-  2.23e-01
      prop_binY16_bin0   -4.1336e-01 +/-  2.30e-01
      prop_binY16_bin1    7.4012e-02 +/-  2.30e-01
     prop_binY16_bin10    2.6455e-02 +/-  2.31e-01
     prop_binY16_bin11   -1.1847e-01 +/-  2.31e-01
     prop_binY16_bin12    1.0528e-01 +/-  2.31e-01
     prop_binY16_bin13   -4.0451e-02 +/-  2.31e-01
     prop_binY16_bin14   -1.5132e-01 +/-  2.30e-01
     prop_binY16_bin15   -2.2154e-02 +/-  2.30e-01
     prop_binY16_bin16    6.6492e-02 +/-  2.30e-01
     prop_binY16_bin17    1.1514e-01 +/-  2.30e-01
     prop_binY16_bin18   -1.3812e-01 +/-  2.31e-01
     prop_binY16_bin19   -1.5704e-01 +/-  2.31e-01
      prop_binY16_bin2   -2.7177e-02 +/-  2.31e-01
     prop_binY16_bin20    1.8361e-01 +/-  2.31e-01
     prop_binY16_bin21    6.2472e-02 +/-  2.31e-01
     prop_binY16_bin22   -3.8399e-02 +/-  2.31e-01
     prop_binY16_bin23   -4.4461e-02 +/-  2.31e-01
  prop_binY16_bin24_LQint    3.0000e+00 +/-  1.39e+00
  prop_binY16_bin24_LQpure    2.0000e+00 +/-  1.13e+00
  prop_binY16_bin24_alpha    3.0012e+00 +/-  1.39e+00
  prop_binY16_bin24_bk    2.0734e+00 +/-  1.14e+00
  prop_binY16_bin24_dy_gg    6.0186e-03 +/-  2.32e-01
  prop_binY16_bin24_fmn    3.9391e+00 +/-  1.59e+00
  prop_binY16_bin24_fpl    4.1050e+00 +/-  1.62e+00
  prop_binY16_bin24_gam    3.0307e+00 +/-  1.40e+00
  prop_binY16_bin25_LQint    0.0000e+00 +/-  2.32e-01
  prop_binY16_bin25_LQpure    0.0000e+00 +/-  2.32e-01
  prop_binY16_bin25_alpha    1.1381e-03 +/-  2.32e-01
  prop_binY16_bin25_bk    4.1110e+00 +/-  1.60e+00
  prop_binY16_bin25_dy_gg    7.4331e-03 +/-  2.32e-01
  prop_binY16_bin25_fmn   -2.6085e-02 +/-  2.31e-01
  prop_binY16_bin25_fpl    4.2750e-02 +/-  2.31e-01
  prop_binY16_bin25_gam    2.1028e+01 +/-  3.86e+00
     prop_binY16_bin26   -7.1971e-03 +/-  2.31e-01
     prop_binY16_bin27    9.5897e-04 +/-  2.31e-01
     prop_binY16_bin28    6.8727e-04 +/-  2.31e-01
     prop_binY16_bin29   -4.4993e-03 +/-  2.31e-01
      prop_binY16_bin3    7.3920e-03 +/-  2.31e-01
     prop_binY16_bin30   -5.3627e-02 +/-  2.31e-01
  prop_binY16_bin31_LQint    3.0000e+00 +/-  1.39e+00
  prop_binY16_bin31_LQpure    2.0000e+00 +/-  1.13e+00
  prop_binY16_bin31_alpha    2.9993e+00 +/-  1.39e+00
  prop_binY16_bin31_bk    1.9611e+00 +/-  1.10e+00
  prop_binY16_bin31_dy_gg   -3.3741e-03 +/-  2.32e-01
  prop_binY16_bin31_fmn    4.0165e+00 +/-  1.62e+00
  prop_binY16_bin31_fpl    3.8825e+00 +/-  1.55e+00
  prop_binY16_bin31_gam    2.9830e+00 +/-  1.38e+00
     prop_binY16_bin32   -1.2866e-01 +/-  2.31e-01
     prop_binY16_bin33   -1.4398e-01 +/-  2.31e-01
     prop_binY16_bin34    1.7735e-02 +/-  2.31e-01
     prop_binY16_bin35   -7.4568e-03 +/-  2.31e-01
     prop_binY16_bin36    8.9187e-03 +/-  2.31e-01
     prop_binY16_bin37   -3.1611e-02 +/-  2.31e-01
     prop_binY16_bin38    1.1870e-01 +/-  2.31e-01
     prop_binY16_bin39    1.3410e-01 +/-  2.31e-01
      prop_binY16_bin4    1.0189e-02 +/-  2.31e-01
     prop_binY16_bin40    1.4588e-01 +/-  2.30e-01
     prop_binY16_bin41    3.4548e-02 +/-  2.31e-01
     prop_binY16_bin42   -2.8692e-02 +/-  2.31e-01
     prop_binY16_bin43   -1.6661e-03 +/-  2.31e-01
     prop_binY16_bin44    1.3043e-03 +/-  2.31e-01
     prop_binY16_bin45    1.2661e-02 +/-  2.31e-01
     prop_binY16_bin46   -1.2108e-02 +/-  2.31e-01
     prop_binY16_bin47   -6.8747e-02 +/-  2.31e-01
  prop_binY16_bin48_LQint    0.0000e+00 +/-  2.32e-01
  prop_binY16_bin48_LQpure    0.0000e+00 +/-  2.32e-01
  prop_binY16_bin48_alpha   -2.3785e-04 +/-  2.32e-01
  prop_binY16_bin48_bk    5.8671e+00 +/-  1.93e+00
  prop_binY16_bin48_dy_gg    1.0989e+01 +/-  2.76e+00
  prop_binY16_bin48_fmn    1.2363e-02 +/-  2.32e-01
  prop_binY16_bin48_fpl   -2.0358e-02 +/-  2.32e-01
  prop_binY16_bin48_gam    6.9837e+00 +/-  2.17e+00
     prop_binY16_bin49    3.6495e-02 +/-  2.31e-01
      prop_binY16_bin5    1.2416e-02 +/-  2.31e-01
     prop_binY16_bin50   -2.2234e-02 +/-  2.31e-01
     prop_binY16_bin51   -2.1719e-02 +/-  2.31e-01
     prop_binY16_bin52    1.5915e-02 +/-  2.31e-01
     prop_binY16_bin53    8.2608e-04 +/-  2.31e-01
     prop_binY16_bin54   -8.9534e-03 +/-  2.31e-01
     prop_binY16_bin55    3.2860e-02 +/-  2.31e-01
  prop_binY16_bin56_LQint    0.0000e+00 +/-  2.32e-01
  prop_binY16_bin56_LQpure    0.0000e+00 +/-  2.32e-01
  prop_binY16_bin56_alpha    2.9998e+00 +/-  1.39e+00
  prop_binY16_bin56_dy_gg   -6.1259e-03 +/-  2.32e-01
  prop_binY16_bin56_fmn    5.7233e-03 +/-  2.32e-01
  prop_binY16_bin56_fpl   -2.4062e-02 +/-  2.31e-01
     prop_binY16_bin57    1.5625e-02 +/-  2.31e-01
     prop_binY16_bin58   -7.6651e-03 +/-  2.31e-01
     prop_binY16_bin59   -2.1790e-03 +/-  2.31e-01
      prop_binY16_bin6   -5.4476e-02 +/-  2.30e-01
     prop_binY16_bin60   -5.9142e-03 +/-  2.31e-01
     prop_binY16_bin61   -1.9064e-03 +/-  2.31e-01
     prop_binY16_bin62   -2.6892e-03 +/-  2.31e-01
  prop_binY16_bin63_LQint    0.0000e+00 +/-  2.32e-01
  prop_binY16_bin63_LQpure    0.0000e+00 +/-  2.32e-01
  prop_binY16_bin63_alpha    2.9995e+00 +/-  1.39e+00
  prop_binY16_bin63_dy_gg   -1.5021e-02 +/-  2.32e-01
  prop_binY16_bin63_fmn    1.6888e-02 +/-  2.32e-01
  prop_binY16_bin63_fpl   -4.8989e-02 +/-  2.32e-01
     prop_binY16_bin64    2.1982e-02 +/-  2.31e-01
     prop_binY16_bin65   -4.7451e-03 +/-  2.31e-01
     prop_binY16_bin66   -5.0979e-03 +/-  2.31e-01
     prop_binY16_bin67    1.0775e-02 +/-  2.31e-01
     prop_binY16_bin68   -1.0058e-02 +/-  2.31e-01
