
Attaching file multidimfit.root as _file0...
(TFile *) 0x2dd7370

  RooFitResult: minimized FCN value: -6.2747, estimated distance to minimum: 4.3433e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
     prop_binY16_bin12    1.0916e-01 +/-  1.84e-01
     prop_binY16_bin13   -3.8595e-02 +/-  1.84e-01
     prop_binY16_bin14   -1.5086e-01 +/-  1.83e-01
     prop_binY16_bin15   -2.1974e-02 +/-  1.84e-01
     prop_binY16_bin16    6.9189e-02 +/-  1.83e-01
     prop_binY16_bin17    1.1398e-01 +/-  1.84e-01
     prop_binY16_bin18   -1.4137e-01 +/-  1.84e-01
     prop_binY16_bin19   -1.5491e-01 +/-  1.84e-01
      prop_binY16_bin2   -2.7845e-02 +/-  1.84e-01
     prop_binY16_bin20    1.8496e-01 +/-  1.84e-01
     prop_binY16_bin21    5.7993e-02 +/-  1.84e-01
     prop_binY16_bin22   -4.3496e-02 +/-  1.84e-01
     prop_binY16_bin23   -4.4899e-02 +/-  1.84e-01
  prop_binY16_bin24_LQint    3.0000e+00 +/-  1.27e+00
  prop_binY16_bin24_LQpure    2.0000e+00 +/-  1.02e+00
  prop_binY16_bin24_alpha    3.0011e+00 +/-  1.27e+00
  prop_binY16_bin24_bk    2.0736e+00 +/-  1.03e+00
  prop_binY16_bin24_dy_gg    5.9708e-03 +/-  1.84e-01
  prop_binY16_bin24_fmn    3.9395e+00 +/-  1.45e+00
  prop_binY16_bin24_fpl    4.1045e+00 +/-  1.48e+00
  prop_binY16_bin24_gam    3.0308e+00 +/-  1.27e+00
  prop_binY16_bin25_LQint    0.0000e+00 +/-  1.84e-01
  prop_binY16_bin25_LQpure    0.0000e+00 +/-  1.84e-01
  prop_binY16_bin25_alpha    1.1161e-03 +/-  1.84e-01
  prop_binY16_bin25_bk    4.1104e+00 +/-  1.46e+00
  prop_binY16_bin25_dy_gg    7.3179e-03 +/-  1.84e-01
  prop_binY16_bin25_fmn   -2.5879e-02 +/-  1.84e-01
  prop_binY16_bin25_fpl    4.2416e-02 +/-  1.84e-01
  prop_binY16_bin25_gam    2.1028e+01 +/-  3.56e+00
     prop_binY16_bin26   -3.7716e-03 +/-  1.84e-01
     prop_binY16_bin27    3.3241e-03 +/-  1.84e-01
     prop_binY16_bin28    2.6934e-03 +/-  1.84e-01
     prop_binY16_bin29   -2.4429e-03 +/-  1.84e-01
      prop_binY16_bin3    8.5950e-03 +/-  1.84e-01
     prop_binY16_bin30   -5.3029e-02 +/-  1.84e-01
  prop_binY16_bin31_LQint    3.0000e+00 +/-  1.27e+00
  prop_binY16_bin31_LQpure    2.0000e+00 +/-  1.02e+00
  prop_binY16_bin31_alpha    2.9994e+00 +/-  1.27e+00
  prop_binY16_bin31_bk    1.9614e+00 +/-  1.00e+00
  prop_binY16_bin31_dy_gg   -3.3128e-03 +/-  1.84e-01
  prop_binY16_bin31_fmn    4.0162e+00 +/-  1.48e+00
  prop_binY16_bin31_fpl    3.8842e+00 +/-  1.42e+00
  prop_binY16_bin31_gam    2.9832e+00 +/-  1.26e+00
     prop_binY16_bin32   -1.2656e-01 +/-  1.84e-01
     prop_binY16_bin33   -1.4158e-01 +/-  1.84e-01
     prop_binY16_bin34    1.9533e-02 +/-  1.84e-01
     prop_binY16_bin35   -6.0015e-03 +/-  1.84e-01
     prop_binY16_bin36    1.0312e-02 +/-  1.84e-01
     prop_binY16_bin37   -2.9474e-02 +/-  1.84e-01
     prop_binY16_bin38    1.2056e-01 +/-  1.84e-01
     prop_binY16_bin39    1.3483e-01 +/-  1.84e-01
      prop_binY16_bin4    1.0235e-02 +/-  1.84e-01
     prop_binY16_bin40    1.4582e-01 +/-  1.83e-01
     prop_binY16_bin41    3.4303e-02 +/-  1.84e-01
     prop_binY16_bin42   -2.7826e-02 +/-  1.84e-01
     prop_binY16_bin43   -4.6175e-04 +/-  1.84e-01
     prop_binY16_bin44    2.4661e-03 +/-  1.84e-01
     prop_binY16_bin45    1.3632e-02 +/-  1.84e-01
     prop_binY16_bin46   -1.1928e-02 +/-  1.84e-01
     prop_binY16_bin47   -6.8654e-02 +/-  1.84e-01
  prop_binY16_bin48_LQint    0.0000e+00 +/-  1.84e-01
  prop_binY16_bin48_LQpure    0.0000e+00 +/-  1.84e-01
  prop_binY16_bin48_alpha   -2.3280e-04 +/-  1.84e-01
  prop_binY16_bin48_bk    5.8676e+00 +/-  1.77e+00
  prop_binY16_bin48_dy_gg    1.0989e+01 +/-  2.54e+00
  prop_binY16_bin48_fmn    1.2273e-02 +/-  1.84e-01
  prop_binY16_bin48_fpl   -2.0209e-02 +/-  1.84e-01
  prop_binY16_bin48_gam    6.9838e+00 +/-  1.99e+00
     prop_binY16_bin49    3.7150e-02 +/-  1.84e-01
      prop_binY16_bin5    1.3715e-02 +/-  1.84e-01
     prop_binY16_bin50   -2.2198e-02 +/-  1.84e-01
     prop_binY16_bin51   -2.1089e-02 +/-  1.84e-01
     prop_binY16_bin52    1.6810e-02 +/-  1.84e-01
     prop_binY16_bin53    4.1222e-04 +/-  1.84e-01
     prop_binY16_bin54   -7.8581e-03 +/-  1.84e-01
     prop_binY16_bin55    3.2447e-02 +/-  1.84e-01
  prop_binY16_bin56_LQint    0.0000e+00 +/-  1.84e-01
  prop_binY16_bin56_LQpure    0.0000e+00 +/-  1.84e-01
  prop_binY16_bin56_alpha    2.9998e+00 +/-  1.27e+00
  prop_binY16_bin56_dy_gg   -6.3035e-03 +/-  1.84e-01
  prop_binY16_bin56_fmn    5.9372e-03 +/-  1.84e-01
  prop_binY16_bin56_fpl   -2.4969e-02 +/-  1.84e-01
     prop_binY16_bin57    1.5820e-02 +/-  1.84e-01
     prop_binY16_bin58   -6.9318e-03 +/-  1.84e-01
     prop_binY16_bin59   -1.6422e-03 +/-  1.84e-01
      prop_binY16_bin6   -5.3111e-02 +/-  1.84e-01
     prop_binY16_bin60   -5.3843e-03 +/-  1.84e-01
     prop_binY16_bin61   -7.7455e-04 +/-  1.84e-01
     prop_binY16_bin62   -1.7582e-03 +/-  1.84e-01
  prop_binY16_bin63_LQint    0.0000e+00 +/-  1.84e-01
  prop_binY16_bin63_LQpure    0.0000e+00 +/-  1.84e-01
  prop_binY16_bin63_alpha    2.9995e+00 +/-  1.27e+00
  prop_binY16_bin63_dy_gg   -1.4894e-02 +/-  1.84e-01
  prop_binY16_bin63_fmn    1.6882e-02 +/-  1.84e-01
  prop_binY16_bin63_fpl   -4.8969e-02 +/-  1.84e-01
     prop_binY16_bin64    2.2701e-02 +/-  1.84e-01
     prop_binY16_bin65   -4.3897e-03 +/-  1.84e-01
     prop_binY16_bin66   -4.5771e-03 +/-  1.84e-01
     prop_binY16_bin67    1.1675e-02 +/-  1.84e-01
     prop_binY16_bin68   -9.1794e-03 +/-  1.84e-01
     prop_binY16_bin69   -1.9165e-03 +/-  1.84e-01
      prop_binY16_bin7    3.0418e-01 +/-  1.83e-01
     prop_binY16_bin70    8.8013e-03 +/-  1.84e-01
     prop_binY16_bin71   -2.2071e-03 +/-  1.84e-01
  prop_binY16_bin72_LQint    0.0000e+00 +/-  1.84e-01
  prop_binY16_bin72_LQpure    0.0000e+00 +/-  1.84e-01
  prop_binY16_bin72_alpha   -2.1780e-04 +/-  1.84e-01
  prop_binY16_bin72_bk    2.8413e+00 +/-  1.19e+00
  prop_binY16_bin72_dy_gg    9.9916e-01 +/-  7.11e-01
  prop_binY16_bin72_fmn    1.2646e-02 +/-  1.84e-01
  prop_binY16_bin72_fpl   -2.2613e-02 +/-  1.84e-01
  prop_binY16_bin72_gam    2.3895e+01 +/-  3.80e+00
     prop_binY16_bin73    3.6525e-03 +/-  1.84e-01
     prop_binY16_bin74    8.1654e-03 +/-  1.84e-01
     prop_binY16_bin75   -2.3763e-03 +/-  1.84e-01
     prop_binY16_bin76    7.5301e-04 +/-  1.84e-01
     prop_binY16_bin77   -5.6103e-03 +/-  1.84e-01
     prop_binY16_bin78    4.6297e-03 +/-  1.84e-01
     prop_binY16_bin79    5.4209e-02 +/-  1.84e-01
      prop_binY16_bin8    7.8903e-03 +/-  1.83e-01
  prop_binY16_bin80_LQint    3.8000e+01 +/-  4.83e+00
  prop_binY16_bin80_LQpure    0.0000e+00 +/-  1.84e-01
  prop_binY16_bin80_alpha    8.8721e-05 +/-  1.84e-01
  prop_binY16_bin80_dy_gg    2.0014e+00 +/-  1.02e+00
  prop_binY16_bin80_fmn   -4.8507e-03 +/-  1.84e-01
  prop_binY16_bin80_fpl    6.8557e-03 +/-  1.84e-01
  prop_binY16_bin80_gam    3.0031e+00 +/-  1.27e+00
     prop_binY16_bin81    4.7914e-03 +/-  1.84e-01
     prop_binY16_bin82    2.1474e-02 +/-  1.84e-01
     prop_binY16_bin83    7.6374e-04 +/-  1.84e-01
     prop_binY16_bin84    1.8468e-04 +/-  1.84e-01
     prop_binY16_bin85   -1.3870e-02 +/-  1.84e-01
     prop_binY16_bin86    2.5745e-03 +/-  1.84e-01
     prop_binY16_bin87   -2.6057e-03 +/-  1.84e-01
  prop_binY16_bin88_LQint    4.0000e+00 +/-  1.48e+00
  prop_binY16_bin88_LQpure    4.0000e+00 +/-  1.48e+00
  prop_binY16_bin88_alpha    3.9999e+00 +/-  1.48e+00
  prop_binY16_bin88_dy_gg   -1.3148e-03 +/-  1.84e-01
  prop_binY16_bin88_fmn    3.0050e+00 +/-  1.27e+00
  prop_binY16_bin88_fpl    2.9940e+00 +/-  1.26e+00
  prop_binY16_bin89_LQint    3.9000e+01 +/-  4.90e+00
  prop_binY16_bin89_LQpure    0.0000e+00 +/-  1.84e-01
  prop_binY16_bin89_alpha    2.5738e-04 +/-  1.84e-01
  prop_binY16_bin89_dy_gg    2.0002e+00 +/-  1.02e+00
  prop_binY16_bin89_fmn   -6.2414e-03 +/-  1.84e-01
  prop_binY16_bin89_fpl    9.2408e-03 +/-  1.84e-01
      prop_binY16_bin9    2.5662e-01 +/-  1.83e-01
  prop_binY16_bin90_LQint    0.0000e+00 +/-  1.84e-01
  prop_binY16_bin90_LQpure    0.0000e+00 +/-  1.84e-01
  prop_binY16_bin90_alpha    3.3755e-05 +/-  1.84e-01
  prop_binY16_bin90_dy_gg    3.0001e+00 +/-  1.27e+00
  prop_binY16_bin90_fmn   -4.8131e-04 +/-  1.84e-01
  prop_binY16_bin90_fpl    8.7085e-04 +/-  1.84e-01
  prop_binY16_bin90_gam    2.0004e+00 +/-  1.02e+00
  prop_binY16_bin91_LQint    0.0000e+00 +/-  1.84e-01
  prop_binY16_bin91_LQpure    0.0000e+00 +/-  1.84e-01
  prop_binY16_bin91_alpha   -1.7765e-04 +/-  1.84e-01
  prop_binY16_bin91_dy_gg   -6.0381e-05 +/-  1.84e-01
  prop_binY16_bin91_fmn    1.7482e-03 +/-  1.84e-01
  prop_binY16_bin91_fpl   -4.7115e-03 +/-  1.84e-01
  prop_binY16_bin91_gam    1.9983e+00 +/-  1.02e+00
     prop_binY16_bin92    4.2398e-03 +/-  1.84e-01
     prop_binY16_bin93   -2.0371e-03 +/-  1.84e-01
     prop_binY16_bin94   -9.1050e-04 +/-  1.84e-01
  prop_binY16_bin95_LQint    4.0000e+00 +/-  1.48e+00
  prop_binY16_bin95_LQpure    4.0000e+00 +/-  1.48e+00
