
Attaching file multidimfit.root as _file0...
(TFile *) 0x3f605a0

  RooFitResult: minimized FCN value: -6.22881, estimated distance to minimum: 6.41269e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
      prop_binY16_bin3    1.2894e-02 +/-  9.44e-01
     prop_binY16_bin30   -5.4184e-02 +/-  9.45e-01
  prop_binY16_bin31_LQint    3.0000e+00 +/-  1.71e+00
  prop_binY16_bin31_LQpure    2.0000e+00 +/-  1.40e+00
  prop_binY16_bin31_alpha    2.9994e+00 +/-  1.71e+00
  prop_binY16_bin31_bk    1.9611e+00 +/-  1.36e+00
  prop_binY16_bin31_dy_gg   -3.4169e-03 +/-  9.94e-01
  prop_binY16_bin31_fmn    4.0166e+00 +/-  1.99e+00
  prop_binY16_bin31_fpl    3.8809e+00 +/-  1.86e+00
  prop_binY16_bin31_gam    2.9832e+00 +/-  1.70e+00
     prop_binY16_bin32   -1.2894e-01 +/-  9.24e-01
     prop_binY16_bin33   -1.4569e-01 +/-  9.51e-01
     prop_binY16_bin34    1.8082e-02 +/-  9.82e-01
     prop_binY16_bin35   -6.8826e-03 +/-  9.84e-01
     prop_binY16_bin36    9.6798e-03 +/-  9.84e-01
     prop_binY16_bin37   -3.1933e-02 +/-  9.83e-01
     prop_binY16_bin38    1.1825e-01 +/-  9.53e-01
     prop_binY16_bin39    1.3554e-01 +/-  9.30e-01
      prop_binY16_bin4    1.6123e-02 +/-  9.44e-01
     prop_binY16_bin40    1.4497e-01 +/-  8.99e-01
     prop_binY16_bin41    3.4848e-02 +/-  9.81e-01
     prop_binY16_bin42   -2.8276e-02 +/-  9.85e-01
     prop_binY16_bin43   -1.0662e-03 +/-  9.82e-01
     prop_binY16_bin44    1.6724e-03 +/-  9.83e-01
     prop_binY16_bin45    1.2790e-02 +/-  9.84e-01
     prop_binY16_bin46   -1.1742e-02 +/-  9.84e-01
     prop_binY16_bin47   -6.8587e-02 +/-  9.39e-01
  prop_binY16_bin48_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin48_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin48_alpha   -2.0826e-04 +/-  9.94e-01
  prop_binY16_bin48_bk    5.8670e+00 +/-  2.30e+00
