"mass (GeV)" rapidity cos(theta_R) Background "Background err" "LQ template yield" "LQ template yield err" "Observed data" "Observed data err"
1000-14000 0.6-1.0 -0.50--0.25 31.792774200439453 1.4207075183211084 -2.0208520889282227 0.9055640095996025 31.0 31.0
1000-14000 0.6-1.0 -0.25-0.00 15.600050926208496 0.6273846683997751 -1.2643475532531738 0.5791991668498025 11.0 11.0
1000-14000 0.6-1.0 0.00-0.25 18.108251571655273 0.574002539861292 -1.4979209899902344 0.6851280428120147 18.0 18.0
1000-14000 0.6-1.0 0.25-0.50 24.161888122558594 1.234693207315127 -2.052546977996826 0.9359230787331632 24.0 24.0
1000-14000 0.6-1.0 0.50-0.75 32.839420318603516 0.9845169265082685 -2.9403538703918457 1.3467128571928564 28.0 28.0
1000-14000 1.0-2.4 -1.00--0.75 86.91080474853516 2.1699276782535075 -7.553445339202881 3.4546299131628424 70.0 70.0
1000-14000 1.0-2.4 -0.50--0.25 15.930841445922852 1.2325991873087736 -0.4265947937965393 0.21957570014680602 14.0 14.0
1000-14000 1.0-2.4 -0.25-0.00 13.904540061950684 0.680293093172267 -0.5952715277671814 0.2834905833847213 9.0 9.0
1000-14000 1.0-2.4 0.00-0.25 19.297378540039062 0.7680704963979444 -1.046290636062622 0.4723975493828596 12.0 12.0
1000-14000 1.0-2.4 0.25-0.50 27.815465927124023 0.8764192346788444 -1.6599265336990356 0.7450915402553387 33.0 33.0
1000-14000 1.0-2.4 0.50-0.75 38.41773986816406 1.186589901561082 -2.5182032585144043 1.1124178359627384 20.0 20.0
