"mass (GeV)" rapidity cos(theta_R) Background "Background err" "LQ template yield" "LQ template yield err" "Observed data" "Observed data err"
1000-14000 0.6-1.0 -0.50--0.25 26.654321670532227 1.8461153794002085 -1.356940507888794 0.8550649311878727 27.0 27.0
1000-14000 0.6-1.0 -0.25-0.00 12.977320671081543 0.7738242602342108 -1.0897095203399658 0.6640242521427281 7.0 7.0
1000-14000 0.6-1.0 0.00-0.25 15.382852554321289 0.7681960346821027 -1.3708322048187256 0.8288696532314582 14.0 14.0
1000-14000 0.6-1.0 0.25-0.50 20.511341094970703 0.9638159743916123 -1.9034502506256104 1.1799051461821992 8.0 8.0
1000-14000 0.6-1.0 0.50-0.75 25.577484130859375 1.0936855202281817 -2.459998607635498 1.54630158967606 19.0 19.0
1000-14000 1.0-2.4 -1.00--0.75 66.64251708984375 2.3377831681016743 -5.47548770904541 3.6563083739527906 55.0 55.0
1000-14000 1.0-2.4 -0.50--0.25 12.148703575134277 1.0074317645351083 -0.39354830980300903 0.23880160483372498 9.0 9.0
1000-14000 1.0-2.4 -0.25-0.00 8.918431282043457 0.6947349807422848 -0.3495979607105255 0.20263793955808737 3.0 3.0
1000-14000 1.0-2.4 0.00-0.25 12.083488464355469 0.6553644814041043 -0.73518967628479 0.4508649324065945 13.0 13.0
1000-14000 1.0-2.4 0.25-0.50 17.095338821411133 0.8390571573355208 -1.1531553268432617 0.7057729909749694 16.0 16.0
1000-14000 1.0-2.4 0.50-0.75 24.732295989990234 1.1020820396829678 -1.6760122776031494 1.0209679562807794 27.0 27.0
