
Processing Fitting/LQ_draw_templates.C...
=========================
 m_LQ = 1000.000000, use_LQ_denom = 1, draw_muons = 0, draw_electrons = 1 
=========================
init year 2016  
Setting up SF's 
TH1.Print Name  = emu16_cost_ratio, Entries= 22022, Total sum= 7.5015
Making mc template for sys  
Fixed up bin 1 4 1. Old asym val was -0.36, new is -0.23 

MC templates generated from 244464 events. Sym integral is 3651.6 
 
i_lqm_bin = 2, i_rap_bin = 3, i_cost_bin = 7, converted_index = 55, pure_content= 0.000000106192
i_lqm_bin = 2, i_rap_bin = 3, i_cost_bin = 8, converted_index = 56, pure_content= 0.000000243495
i_lqm_bin = 2, i_rap_bin = 4, i_cost_bin = 1, converted_index = 57, pure_content= -0.000000000536
i_lqm_bin = 2, i_rap_bin = 4, i_cost_bin = 2, converted_index = 58, pure_content= 0.000000017056
i_lqm_bin = 2, i_rap_bin = 4, i_cost_bin = 3, converted_index = 59, pure_content= 0.000000035537
i_lqm_bin = 2, i_rap_bin = 4, i_cost_bin = 4, converted_index = 60, pure_content= 0.000000038904
i_lqm_bin = 2, i_rap_bin = 4, i_cost_bin = 5, converted_index = 61, pure_content= 0.000000038904
i_lqm_bin = 2, i_rap_bin = 4, i_cost_bin = 6, converted_index = 62, pure_content= 0.000000035537
i_lqm_bin = 2, i_rap_bin = 4, i_cost_bin = 7, converted_index = 63, pure_content= 0.000000017056
i_lqm_bin = 2, i_rap_bin = 4, i_cost_bin = 8, converted_index = 64, pure_content= -0.000000000536
i_lqm_bin = 3, i_rap_bin = 1, i_cost_bin = 1, converted_index = 65, pure_content= 0.000000840324
i_lqm_bin = 3, i_rap_bin = 1, i_cost_bin = 2, converted_index = 66, pure_content= 0.000000994406
i_lqm_bin = 3, i_rap_bin = 1, i_cost_bin = 3, converted_index = 67, pure_content= 0.000001146650
i_lqm_bin = 3, i_rap_bin = 1, i_cost_bin = 4, converted_index = 68, pure_content= 0.000001259731
i_lqm_bin = 3, i_rap_bin = 1, i_cost_bin = 5, converted_index = 69, pure_content= 0.000001259731
i_lqm_bin = 3, i_rap_bin = 1, i_cost_bin = 6, converted_index = 70, pure_content= 0.000001146650
i_lqm_bin = 3, i_rap_bin = 1, i_cost_bin = 7, converted_index = 71, pure_content= 0.000000994406
i_lqm_bin = 3, i_rap_bin = 1, i_cost_bin = 8, converted_index = 72, pure_content= 0.000000840324
i_lqm_bin = 3, i_rap_bin = 2, i_cost_bin = 1, converted_index = 73, pure_content= 0.000000356248
i_lqm_bin = 3, i_rap_bin = 2, i_cost_bin = 2, converted_index = 74, pure_content= 0.000000412741
i_lqm_bin = 3, i_rap_bin = 2, i_cost_bin = 3, converted_index = 75, pure_content= 0.000000577354
i_lqm_bin = 3, i_rap_bin = 2, i_cost_bin = 4, converted_index = 76, pure_content= 0.000000616964
i_lqm_bin = 3, i_rap_bin = 2, i_cost_bin = 5, converted_index = 77, pure_content= 0.000000616964
i_lqm_bin = 3, i_rap_bin = 2, i_cost_bin = 6, converted_index = 78, pure_content= 0.000000577354
i_lqm_bin = 3, i_rap_bin = 2, i_cost_bin = 7, converted_index = 79, pure_content= 0.000000412741
i_lqm_bin = 3, i_rap_bin = 2, i_cost_bin = 8, converted_index = 80, pure_content= 0.000000356248
i_lqm_bin = 3, i_rap_bin = 3, i_cost_bin = 1, converted_index = 81, pure_content= 0.000000074269
i_lqm_bin = 3, i_rap_bin = 3, i_cost_bin = 2, converted_index = 82, pure_content= 0.000000328395
i_lqm_bin = 3, i_rap_bin = 3, i_cost_bin = 3, converted_index = 83, pure_content= 0.000000278264
i_lqm_bin = 3, i_rap_bin = 3, i_cost_bin = 4, converted_index = 84, pure_content= 0.000000292021
i_lqm_bin = 3, i_rap_bin = 3, i_cost_bin = 5, converted_index = 85, pure_content= 0.000000292021
i_lqm_bin = 3, i_rap_bin = 3, i_cost_bin = 6, converted_index = 86, pure_content= 0.000000278264
i_lqm_bin = 3, i_rap_bin = 3, i_cost_bin = 7, converted_index = 87, pure_content= 0.000000328395
i_lqm_bin = 3, i_rap_bin = 3, i_cost_bin = 8, converted_index = 88, pure_content= 0.000000074269
i_lqm_bin = 3, i_rap_bin = 4, i_cost_bin = 1, converted_index = 89, pure_content= 0.000000000030
i_lqm_bin = 3, i_rap_bin = 4, i_cost_bin = 2, converted_index = 90, pure_content= 0.000000031085
i_lqm_bin = 3, i_rap_bin = 4, i_cost_bin = 3, converted_index = 91, pure_content= 0.000000042067
i_lqm_bin = 3, i_rap_bin = 4, i_cost_bin = 4, converted_index = 92, pure_content= 0.000000036945
i_lqm_bin = 3, i_rap_bin = 4, i_cost_bin = 5, converted_index = 93, pure_content= 0.000000036945
i_lqm_bin = 3, i_rap_bin = 4, i_cost_bin = 6, converted_index = 94, pure_content= 0.000000042067
