"Sys name" Contri "%% Contri"
"Electron Identification/Isolation " 0.062189999999999995 32.86166083014633
"LQ LO reweighting " 0.04086 21.590729402151137
"Electron Momentum Scale " 0.03225 17.041141047953356
"MC and MisID Backgrounds Statistical Uncertainty " 0.02908 15.366089354247556
"Luminosity " 0.024919999999999998 13.167914260930159
"DY Cross Section " 0.016130000000000002 8.523212561348455
"Electron Trigger Prefire Correction " 0.01593 8.417531066477425
"$\alpha_s$ + Renormalization/Factorization Scales " 0.013859999999999999 7.323727594562279
"Electron MisID Normalization " 0.01355 7.159921277512185
"$e\mu$ Shape Corrections " 0.013369999999999998 7.064807932128258
"Pileup " 0.0131 6.922137914052372
"Electron Trigger " 0.013040000000000001 6.890433465591062
"Electron Reconstruction " 0.01273 6.726627148540968
"$\ttbar$ Cross Section " 0.01142 6.034413357135731
"PDFs " 0.011290000000000001 5.965720385469564
"Diboson Cross Section " 0.010409999999999999 5.500721808037037
"Electron MisID Shape " 0.00255 1.3474390596056143
"$\PGg\PGg$ Cross Section " 0.00082 0.43329412897121716
"Statistical Uncertainty" 0.1607027827043035 84.91655153062435
"Background Cross Sections" 0.022352489794204136 11.811222677704514
"Trigger & Prefire" 0.020586561150420436 10.878092783151367
"MisID shape and normalization" 0.03218309183406715 17.005786272979048
"Total systematic uncertainty" 0.09994688489392754 52.81268101646443
