"Sys name" Contri "%% Contri"
"$\alpha_s$ + Renormalization/Factorization Scales " 0.023780000000000003 11.487826003382
"$\ttbar$ Cross Section " 0.02254 10.888797229446185
"LQ LO reweighting " 0.02122 10.25112143783709
"Luminosity " 0.020390000000000002 9.850158629476828
"DY Cross Section " 0.018930000000000002 9.144850556939499
"MC and MisID Backgrounds Statistical Uncertainty " 0.01624 7.845344587675513
"$e\mu$ Shape Corrections " 0.012830000000000001 6.198015459352021
"Muon Identification/Isolation " 0.0097 4.685950892885004
"PDFs " 0.00801 3.869532644536998
"Diboson Cross Section " 0.00588 2.840555798985961
"Pileup " 0.00569 2.7487691320119247
"$\PGg\PGg$ Cross Section " 0.00509 2.458916499462337
"Muon Trigger Prefire Correction " 0.00228 1.1014400036884338
"Muon Trigger " 0.00162 0.7826021078838872
"Muon MisID Shape " 0.0015 0.7246315813739697
"Muon MisID Normalization " 0.00132 0.6376757916090934
"Muon Momentum Scale " 0.0009 0.4347789488243818
"Statistical Uncertainty" 0.19964898093779326 96.44797118443644
"Background Cross Sections" 0.030444687549718755 14.707454722392738
"Trigger & Prefire" 0.002796926884993599 1.3511610344401885
"MisID shape and normalization" 0.016362457028209425 7.904502074343347
"Total systematic uncertainty" 0.05468094549292285 26.41569333570702
