"Sys name" Contri "%% Contri"
"Electron Identification/Isolation " 0.07967 62.01676582183814
"MC and MisID Backgrounds Statistical Uncertainty " 0.042339999999999996 32.95832640763935
"LQ LO reweighting " 0.03344 26.030383445239956
"Luminosity " 0.0291 22.65203822537329
"$\alpha_s$ + Renormalization/Factorization Scales " 0.023809999999999998 18.5341934758123
"DY Cross Section " 0.02356 18.339588336419062
"Electron MisID Normalization " 0.022609999999999998 17.60008880672474
"$\ttbar$ Cross Section " 0.01779 13.84810171922305
"Electron Momentum Scale " 0.01377 10.718851077779732
"PDFs " 0.01214 9.450025568935798
"Electron Trigger Prefire Correction " 0.010159999999999999 7.908752864941325
"$e\mu$ Shape Corrections " 0.00885 6.889021934520742
"Electron Reconstruction " 0.00842 6.554301094764368
"Pileup " 0.0076 5.915996237554536
"Diboson Cross Section " 0.0067 5.215417735738868
"Electron Trigger " 0.00619 4.818423251376655
"Electron MisID Shape " 0.00614 4.779502223498007
"$\PGg\PGg$ Cross Section " 0.00058 0.45148392339231985
"Statistical Uncertainty" 0.06066440597242728 47.22242072188956
"Background Cross Sections" 0.03027844282653915 23.569362347475753
"Trigger & Prefire" 0.011897129905989932 9.26097049493868
"MisID shape and normalization" 0.0483899504029504 37.66773217359278
"Total systematic uncertainty" 0.11323936197276988 88.14784728605036
