
Attaching file multidimfit.root as _file0...
(TFile *) 0x157ae70

  RooFitResult: minimized FCN value: -3.51872, estimated distance to minimum: 8.57288e-07
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
                  pdf7    9.5060e-03 +/-  6.55e-02
                  pdf8    9.0140e-03 +/-  6.55e-02
                  pdf9   -1.9358e-03 +/-  6.55e-02
             prefire16    3.5785e-03 +/-  6.55e-02
             prefire17   -9.8266e-03 +/-  6.53e-02
              ptrw1b16   -1.2118e-02 +/-  6.55e-02
              ptrw1b17    1.2818e-02 +/-  6.55e-02
              ptrw1b18   -1.7467e-03 +/-  6.55e-02
              ptrw2b16   -3.1014e-02 +/-  6.55e-02
              ptrw2b17   -3.6597e-03 +/-  6.55e-02
              ptrw2b18    9.6428e-03 +/-  6.55e-02
              ptrw3b16   -4.0710e-03 +/-  6.55e-02
              ptrw3b17   -3.7613e-03 +/-  6.55e-02
              ptrw3b18   -3.0850e-02 +/-  6.55e-02
              ptrw4b16    2.2310e-03 +/-  6.55e-02
              ptrw4b17   -1.7145e-02 +/-  6.55e-02
              ptrw4b18    1.2846e-02 +/-  6.55e-02
              ptrw5b16    1.2496e-03 +/-  6.55e-02
              ptrw5b17    2.5738e-02 +/-  6.55e-02
              ptrw5b18    2.9139e-02 +/-  6.55e-02
              ptrw6b16   -7.3406e-03 +/-  6.55e-02
              ptrw6b17    1.1112e-02 +/-  6.55e-02
              ptrw6b18    3.1185e-03 +/-  6.55e-02
              ptrw7b16    7.5201e-02 +/-  6.55e-02
              ptrw7b17    3.8766e-03 +/-  6.55e-02
              ptrw7b18   -8.2485e-02 +/-  6.55e-02
                   yLQ    0.0000e+00 +/-  7.47e+00

