"Sys name" Contri "%% Contri"
"Electron Momentum Scale " 0.02887 4.791812334903324
"LQ LO reweighting " 0.02765 4.395380778772786
"MC and MisID Backgrounds Statistical Uncertainty " 0.02395 3.297746506029602
"Luminosity " 0.01317 0.9971896983532634
"Electron MisID Normalization " 0.01245 0.8911379444839472
"$\alpha_s$ + Renormalization/Factorization Scales " 0.011359999999999999 0.7419299384234163
"$e\mu$ Shape Corrections " 0.01034 0.6146774924099155
"Electron Trigger Prefire Correction " 0.00999 0.573769171292672
"$\ttbar$ Cross Section " 0.00842 0.407596472104074
"Electron Identification/Isolation " 0.008 0.3679477972740609
"PDFs " 0.007540000000000001 0.3268503279922813
"Pileup " 0.0054399999999999995 0.17013906145952573
"Electron Reconstruction " 0.00413 0.0980632622394364
"Diboson Cross Section " 0.0034100000000000003 0.0668520903356642
"Electron Trigger " 0.0031100000000000004 0.055606685781475707
"DY Cross Section " 0.0030800000000000003 0.05453906225094769
"$\PGg\PGg$ Cross Section " 0.0008900000000000001 0.004553928909699745
"Electron MisID Shape " 0.0008300000000000001 0.003960613086595322
"Statistical Uncertainty" 0.11952944007807864 82.1402468338973
"Background Cross Sections" 0.015799999999999998 0.5335415536003857
"Trigger & Prefire" 0.0131 0.6293758570741477
"MisID shape and normalization" 0.03723 4.192845063600144
"Total systematic uncertainty" 0.05573584753101006 17.85975316610269
