dy_xsec16 -0.956 0.18 0.956
dy_xsec17 -0.961 0.424 0.961
dy_xsec18 -0.943 0.073 0.943
nlo_sys16 -0.992 0.12 0.992
nlo_sys17 -0.954 -0.249 0.954
nlo_sys18 -0.978 0.198 0.978
alphaS16 -1.004 -0.036 1.004
alphaS17 -1.0 0.0 1.0
alphaS18 -1.0 0.0 1.0
FAC16 -1.003 0.077 1.003
FAC17 -0.905 0.233 0.905
FAC18 -0.943 0.183 0.943
REFAC16 -0.918 0.341 0.918
REFAC17 -0.909 0.382 0.909
REFAC18 -0.947 0.025 0.947
RENORM16 -0.927 0.223 0.927
RENORM17 -0.933 0.192 0.933
RENORM18 -1.04 -0.21 1.04
