dy_xsec16 -0.946 -0.135 0.946
dy_xsec17 -0.869 0.859 0.869
dy_xsec18 -0.858 0.736 0.858
nlo_sys16 -1.005 0.459 1.005
nlo_sys17 -0.932 -0.172 0.932
nlo_sys18 -0.931 -0.167 0.931
alphaS16 -0.979 -0.006 0.979
alphaS17 -1.0 0.0 1.0
alphaS18 -1.0 0.0 1.0
FAC16 -1.041 -0.278 1.041
FAC17 -0.992 0.432 0.992
FAC18 -0.921 0.282 0.921
REFAC16 -0.911 -0.388 0.911
REFAC17 -0.953 0.902 0.953
REFAC18 -0.947 0.544 0.947
RENORM16 -1.592 -0.113 1.592
RENORM17 -0.999 0.396 0.999
RENORM18 -1.06 0.189 1.06
